PaymentTransaction,RiskAssessment
TXN0000000,RA001163
TXN0000000,RA001164
TXN0000002,RA001165
TXN0000001,RA001166
TXN0000000,RA001167
TXN0000000,RA001168
TXN0000014,RA001169
TXN0000000,RA001170
TXN0000002,RA001171
TXN0000001,RA001172
TXN0000000,RA001173
TXN0000199,RA001174
TXN0000000,RA001175
TXN0000001,RA001176
TXN0000000,RA001177
TXN0000000,RA001178
TXN0000001,RA001179
TXN0000234,RA001180
TXN0001999,RA001181
TXN0000000,RA001182
TXN0000004,RA001183
TXN0000000,RA001184
TXN0000001,RA001185
TXN0000006,RA001186
TXN0000001,RA001187
TXN0000002,RA001188
TXN0000004,RA001189
TXN0000013,RA001190
TXN0000000,RA001191
TXN0000021,RA001192
TXN0000030,RA001193
TXN0000000,RA001194
TXN0000002,RA001195
TXN0001999,RA001196
TXN0000000,RA001197
TXN0000003,RA001198
TXN0000008,RA001199
TXN0000000,RA001200
TXN0000036,RA001201
TXN0000027,RA001202
TXN0000003,RA001203
TXN0000013,RA001204
TXN0000000,RA001205
TXN0000003,RA001206
TXN0000001,RA001207
TXN0000002,RA001208
TXN0000000,RA001209
TXN0000000,RA001210
TXN0000003,RA001211
TXN0000000,RA001212
TXN0000003,RA001213
TXN0000011,RA001214
TXN0000022,RA001215
TXN0000000,RA001216
TXN0000005,RA001217
TXN0000119,RA001218
TXN0000001,RA001219
TXN0000023,RA001220
TXN0000294,RA001221
TXN0000038,RA001222
TXN0000018,RA001223
TXN0000023,RA001224
TXN0000002,RA001225
TXN0000013,RA001226
TXN0000000,RA001227
TXN0000000,RA001228
TXN0000000,RA001229
TXN0000001,RA001230
TXN0000003,RA001231
TXN0000002,RA001232
TXN0000030,RA001233
TXN0000056,RA001234
TXN0000011,RA001235
TXN0000001,RA001236
TXN0000017,RA001237
TXN0000002,RA001238
TXN0000001,RA001239
TXN0000001,RA001240
TXN0000003,RA001241
TXN0000000,RA001242
TXN0000001,RA001243
TXN0000233,RA001244
TXN0000000,RA001245
TXN0000000,RA001246
TXN0000008,RA001247
TXN0000006,RA001248
TXN0000004,RA001249
TXN0000006,RA001250
TXN0000000,RA001251
TXN0000000,RA001252
TXN0000000,RA001253
TXN0000001,RA001254
TXN0000000,RA001255
TXN0000000,RA001256
TXN0000337,RA001257
TXN0000000,RA001258
TXN0000205,RA001259
TXN0000001,RA001260
TXN0000250,RA001261
TXN0000000,RA001262
TXN0000000,RA001263
TXN0000000,RA001264
TXN0000001,RA001265
TXN0000294,RA001266
TXN0000001,RA001267
TXN0000028,RA001268
TXN0000000,RA001269
TXN0000001,RA001270
TXN0000057,RA001271
TXN0000009,RA001272
TXN0000000,RA001273
TXN0000007,RA001274
TXN0000016,RA001275
TXN0000003,RA001276
TXN0000000,RA001277
TXN0000085,RA001278
TXN0000002,RA001279
TXN0000000,RA001280
TXN0000060,RA001281
TXN0000002,RA001282
TXN0000000,RA001283
TXN0000002,RA001284
TXN0000000,RA001285
TXN0000022,RA001286
TXN0000108,RA001287
TXN0000020,RA001288
TXN0000000,RA001289
TXN0000000,RA001290
TXN0000001,RA001291
TXN0000024,RA001292
TXN0000007,RA001293
TXN0000000,RA001294
TXN0000000,RA001295
TXN0000000,RA001296
TXN0000000,RA001297
TXN0000000,RA001298
TXN0000007,RA001299
TXN0000055,RA001300
TXN0000000,RA001301
TXN0000000,RA001302
TXN0000007,RA001303
TXN0000176,RA001304
TXN0000000,RA001305
TXN0000005,RA001306
TXN0000000,RA001307
TXN0000559,RA001308
TXN0000001,RA001309
TXN0000001,RA001310
TXN0000000,RA001311
TXN0000004,RA001312
TXN0000000,RA001313
TXN0000004,RA001314
TXN0000054,RA001315
TXN0000000,RA001316
TXN0000000,RA001317
TXN0000024,RA001318
TXN0000000,RA001319
TXN0000000,RA001320
TXN0000001,RA001321
TXN0000004,RA001322
TXN0000000,RA001323
TXN0000016,RA001324
TXN0000002,RA001325
TXN0000003,RA001326
TXN0000000,RA001327
TXN0000004,RA001328
TXN0000017,RA001329
TXN0000014,RA001330
TXN0000057,RA001331
TXN0000000,RA001332
TXN0000000,RA001333
TXN0000002,RA001334
TXN0001999,RA001335
TXN0000009,RA001336
TXN0000001,RA001337
TXN0000000,RA001338
TXN0000000,RA001339
TXN0000003,RA001340
TXN0000000,RA001341
TXN0000000,RA001342
TXN0000002,RA001343
TXN0000001,RA001344
TXN0000000,RA001345
TXN0000004,RA001346
TXN0000004,RA001347
TXN0000000,RA001348
TXN0000002,RA001349
TXN0000000,RA001350
TXN0000000,RA001351
TXN0000000,RA001352
TXN0000001,RA001353
TXN0000005,RA001354
TXN0000000,RA001355
TXN0000000,RA001356
TXN0000004,RA001357
TXN0000000,RA001358
TXN0000004,RA001359
TXN0000000,RA001360
TXN0000000,RA001361
TXN0000000,RA001362
TXN0000000,RA001363
TXN0000013,RA001364
TXN0000000,RA001365
TXN0000000,RA001366
TXN0000002,RA001367
TXN0000006,RA001368
TXN0000000,RA001369
TXN0000031,RA001370
TXN0000014,RA001371
TXN0000000,RA001372
TXN0000052,RA001373
TXN0000000,RA001374
TXN0000000,RA001375
TXN0000001,RA001376
TXN0000000,RA001377
TXN0000000,RA001378
TXN0000001,RA001379
TXN0000002,RA001380
TXN0001999,RA001381
TXN0000001,RA001382
TXN0000000,RA001383
TXN0000000,RA001384
TXN0000000,RA001385
TXN0000030,RA001386
TXN0000003,RA001387
TXN0000001,RA001388
TXN0000003,RA001389
TXN0000009,RA001390
TXN0000012,RA001391
TXN0000001,RA001392
TXN0000004,RA001393
TXN0000001,RA001394
TXN0000000,RA001395
TXN0000001,RA001396
TXN0000001,RA001397
TXN0000004,RA001398
TXN0000000,RA001399
TXN0000003,RA001400
TXN0000000,RA001401
TXN0000000,RA001402
TXN0000003,RA001403
TXN0000350,RA001404
TXN0000004,RA001405
TXN0000003,RA001406
TXN0000000,RA001407
TXN0000000,RA001408
TXN0000009,RA001409
TXN0000002,RA001410
TXN0000004,RA001411
TXN0000000,RA001412
TXN0000005,RA001413
TXN0000001,RA001414
TXN0000018,RA001415
TXN0001097,RA001416
TXN0000002,RA001417
TXN0000003,RA001418
TXN0000000,RA001419
TXN0000002,RA001420
TXN0000002,RA001421
TXN0000001,RA001422
TXN0000000,RA001423
TXN0000000,RA001424
TXN0000002,RA001425
TXN0000003,RA001426
TXN0000000,RA001427
TXN0000000,RA001428
TXN0000000,RA001429
TXN0000001,RA001430
TXN0000000,RA001431
TXN0000000,RA001432
TXN0000000,RA001433
TXN0000192,RA001434
TXN0000003,RA001435
TXN0000000,RA001436
TXN0000000,RA001437
TXN0000000,RA001438
TXN0000014,RA001439
TXN0000005,RA001440
TXN0000001,RA001441
TXN0000001,RA001442
TXN0000000,RA001443
TXN0000026,RA001444
TXN0000000,RA001445
TXN0000000,RA001446
TXN0000000,RA001447
TXN0000013,RA001448
TXN0000008,RA001449
TXN0000000,RA001450
TXN0000002,RA001451
TXN0000000,RA001452
TXN0000004,RA001453
TXN0000000,RA001454
TXN0000006,RA001455
TXN0000002,RA001456
TXN0000000,RA001457
TXN0000012,RA001458
TXN0000209,RA001459
TXN0000002,RA001460
TXN0000000,RA001461
TXN0000008,RA001462
TXN0000000,RA001463
TXN0000004,RA001464
TXN0000009,RA001465
TXN0000007,RA001466
TXN0000000,RA001467
TXN0000000,RA001468
TXN0000011,RA001469
TXN0000017,RA001470
TXN0000003,RA001471
TXN0000001,RA001472
TXN0000009,RA001473
TXN0000001,RA001474
TXN0000000,RA001475
TXN0000002,RA001476
TXN0000004,RA001477
TXN0000154,RA001478
TXN0000002,RA001479
TXN0000005,RA001480
TXN0000000,RA001481
TXN0000001,RA001482
TXN0000001,RA001483
TXN0000000,RA001484
TXN0000000,RA001485
TXN0000000,RA001486
TXN0000001,RA001487
TXN0000000,RA001488
TXN0000031,RA001489
TXN0000000,RA001490
TXN0000000,RA001491
TXN0000000,RA001492
TXN0000036,RA001493
TXN0000001,RA001494
TXN0000001,RA001495
TXN0000000,RA001496
TXN0000001,RA001497
TXN0000002,RA001498
TXN0000000,RA001499
TXN0000000,RA001500
TXN0000022,RA001501
TXN0000009,RA001502
TXN0000000,RA001503
TXN0000004,RA001504
TXN0000049,RA001505
TXN0000000,RA001506
TXN0000035,RA001507
TXN0000003,RA001508
TXN0000001,RA001509
TXN0000013,RA001510
TXN0000049,RA001511
TXN0000002,RA001512
TXN0000006,RA001513
TXN0000003,RA001514
TXN0000004,RA001515
TXN0000331,RA001516
TXN0000000,RA001517
TXN0000000,RA001518
TXN0000000,RA001519
TXN0000415,RA001520
TXN0000002,RA001521
TXN0000024,RA001522
TXN0000136,RA001523
TXN0000054,RA001524
TXN0000003,RA001525
TXN0000000,RA001526
TXN0000002,RA001527
TXN0000013,RA001528
TXN0000015,RA001529
TXN0000006,RA001530
TXN0000000,RA001531
TXN0000001,RA001532
TXN0000001,RA001533
TXN0000097,RA001534
TXN0000862,RA001535
TXN0000000,RA001536
TXN0000001,RA001537
TXN0000074,RA001538
TXN0000002,RA001539
TXN0000004,RA001540
TXN0000005,RA001541
TXN0000013,RA001542
TXN0000005,RA001543
TXN0000000,RA001544
TXN0000001,RA001545
TXN0000031,RA001546
TXN0000001,RA001547
TXN0000015,RA001548
TXN0000003,RA001549
TXN0000086,RA001550
TXN0000000,RA001551
TXN0000005,RA001552
TXN0000074,RA001553
TXN0000000,RA001554
TXN0000008,RA001555
TXN0000000,RA001556
TXN0000000,RA001557
TXN0000000,RA001558
TXN0000000,RA001559
TXN0000004,RA001560
TXN0000000,RA001561
TXN0000001,RA001562
TXN0000000,RA001563
TXN0001559,RA001564
TXN0000000,RA001565
TXN0000001,RA001566
TXN0000003,RA001567
TXN0000007,RA001568
TXN0000008,RA001569
TXN0000029,RA001570
TXN0000001,RA001571
TXN0000005,RA001572
TXN0000137,RA001573
TXN0000005,RA001574
TXN0000000,RA001575
TXN0001485,RA001576
TXN0000001,RA001577
TXN0000000,RA001578
TXN0000000,RA001579
TXN0000000,RA001580
TXN0000001,RA001581
TXN0000015,RA001582
TXN0000050,RA001583
TXN0000000,RA001584
TXN0000008,RA001585
TXN0000000,RA001586
TXN0000000,RA001587
TXN0000001,RA001588
TXN0000000,RA001589
TXN0000001,RA001590
TXN0000000,RA001591
TXN0000017,RA001592
TXN0000046,RA001593
TXN0000000,RA001594
TXN0000002,RA001595
TXN0000002,RA001596
TXN0000019,RA001597
TXN0000001,RA001598
TXN0000000,RA001599
TXN0000001,RA001600
TXN0000011,RA001601
TXN0000002,RA001602
TXN0000002,RA001603
TXN0000000,RA001604
TXN0000000,RA001605
TXN0000000,RA001606
TXN0000011,RA001607
TXN0000000,RA001608
TXN0000000,RA001609
TXN0000000,RA001610
TXN0000011,RA001611
TXN0000015,RA001612
TXN0000000,RA001613
TXN0000000,RA001614
TXN0000000,RA001615
TXN0000060,RA001616
TXN0000000,RA001617
TXN0000007,RA001618
TXN0000004,RA001619
TXN0001999,RA001620
TXN0000052,RA001621
TXN0000001,RA001622
TXN0000001,RA001623
TXN0000016,RA001624
TXN0000005,RA001625
TXN0000021,RA001626
TXN0000008,RA001627
TXN0000000,RA001628
TXN0000007,RA001629
TXN0000006,RA001630
TXN0000009,RA001631
TXN0000001,RA001632
TXN0000001,RA001633
TXN0000013,RA001634
TXN0000007,RA001635
TXN0000000,RA001636
TXN0000000,RA001637
TXN0000510,RA001638
TXN0000000,RA001639
TXN0000000,RA001640
TXN0000000,RA001641
TXN0000000,RA001642
TXN0000017,RA001643
TXN0000000,RA001644
TXN0000015,RA001645
TXN0000000,RA001646
TXN0000005,RA001647
TXN0000000,RA001648
TXN0000000,RA001649
TXN0000000,RA001650
TXN0000000,RA001651
TXN0000015,RA001652
TXN0000000,RA001653
TXN0000002,RA001654
TXN0000002,RA001655
TXN0000001,RA001656
TXN0000001,RA001657
TXN0000242,RA001658
TXN0000001,RA001659
TXN0000003,RA001660
TXN0000004,RA001661
TXN0000002,RA001662
TXN0000002,RA001663
TXN0000002,RA001664
TXN0000000,RA001665
TXN0000001,RA001666
TXN0000011,RA001667
TXN0000005,RA001668
TXN0000000,RA001669
TXN0000003,RA001670
TXN0000000,RA001671
TXN0000000,RA001672
TXN0000000,RA001673
TXN0001999,RA001674
TXN0000003,RA001675
TXN0000000,RA001676
TXN0000000,RA001677
TXN0000000,RA001678
TXN0000006,RA001679
TXN0001999,RA001680
TXN0000000,RA001681
TXN0000004,RA001682
TXN0000000,RA001683
TXN0000000,RA001684
TXN0000000,RA001685
TXN0000008,RA001686
TXN0000005,RA001687
TXN0000000,RA001688
TXN0000071,RA001689
TXN0000002,RA001690
TXN0000007,RA001691
TXN0000002,RA001692
TXN0000006,RA001693
TXN0000000,RA001694
TXN0000001,RA001695
TXN0000008,RA001696
TXN0000000,RA001697
TXN0000002,RA001698
TXN0000000,RA001699
TXN0000000,RA001700
TXN0000075,RA001701
TXN0000000,RA001702
TXN0000000,RA001703
TXN0000000,RA001704
TXN0001999,RA001705
TXN0000000,RA001706
TXN0000002,RA001707
TXN0001999,RA001708
TXN0000000,RA001709
TXN0000000,RA001710
TXN0000062,RA001711
TXN0000001,RA001712
TXN0000000,RA001713
TXN0000002,RA001714
TXN0000141,RA001715
TXN0000000,RA001716
TXN0000011,RA001717
TXN0000000,RA001718
TXN0000003,RA001719
TXN0000000,RA001720
TXN0000000,RA001721
TXN0000000,RA001722
TXN0000131,RA001723
TXN0000006,RA001724
TXN0000002,RA001725
TXN0000143,RA001726
TXN0000000,RA001727
TXN0000001,RA001728
TXN0000065,RA001729
TXN0000000,RA001730
TXN0000026,RA001731
TXN0000002,RA001732
TXN0000001,RA001733
TXN0000009,RA001734
TXN0000004,RA001735
TXN0000032,RA001736
TXN0000000,RA001737
TXN0000001,RA001738
TXN0000000,RA001739
TXN0000000,RA001740
TXN0000012,RA001741
TXN0000106,RA001742
TXN0000002,RA001743
TXN0000001,RA001744
TXN0000000,RA001745
TXN0000000,RA001746
TXN0000001,RA001747
TXN0000131,RA001748
TXN0000002,RA001749
TXN0000000,RA001750
TXN0000011,RA001751
TXN0000001,RA001752
TXN0000000,RA001753
TXN0000002,RA001754
TXN0000023,RA001755
TXN0000000,RA001756
TXN0000000,RA001757
TXN0000002,RA001758
TXN0000026,RA001759
TXN0000007,RA001760
TXN0000006,RA001761
TXN0001999,RA001762
TXN0000003,RA001763
TXN0000005,RA001764
TXN0000001,RA001765
TXN0000000,RA001766
TXN0000000,RA001767
TXN0000002,RA001768
TXN0000000,RA001769
TXN0000005,RA001770
TXN0000001,RA001771
TXN0000001,RA001772
TXN0000001,RA001773
TXN0000002,RA001774
TXN0000001,RA001775
TXN0000001,RA001776
TXN0000000,RA001777
TXN0000000,RA001778
TXN0000032,RA001779
TXN0000008,RA001780
TXN0000000,RA001781
TXN0000000,RA001782
TXN0000000,RA001783
TXN0000153,RA001784
TXN0000003,RA001785
TXN0000001,RA001786
TXN0000004,RA001787
TXN0000043,RA001788
TXN0000000,RA001789
TXN0000005,RA001790
TXN0000006,RA001791
TXN0000016,RA001792
TXN0000000,RA001793
TXN0000000,RA001794
TXN0000003,RA001795
TXN0000448,RA001796
TXN0000004,RA001797
TXN0000010,RA001798
TXN0000000,RA001799
TXN0000002,RA001800
TXN0000000,RA001801
TXN0000001,RA001802
TXN0000005,RA001803
TXN0000000,RA001804
TXN0000119,RA001805
TXN0000001,RA001806
TXN0000002,RA001807
TXN0000005,RA001808
TXN0000000,RA001809
TXN0000000,RA001810
TXN0000008,RA001811
TXN0000000,RA001812
TXN0000055,RA001813
TXN0000141,RA001814
TXN0000781,RA001815
TXN0000000,RA001816
TXN0000000,RA001817
TXN0000000,RA001818
TXN0000000,RA001819
TXN0000001,RA001820
TXN0000002,RA001821
TXN0000028,RA001822
TXN0000010,RA001823
TXN0000000,RA001824
TXN0000033,RA001825
TXN0000000,RA001826
TXN0000019,RA001827
TXN0000002,RA001828
TXN0000002,RA001829
TXN0000005,RA001830
TXN0000002,RA001831
TXN0000000,RA001832
TXN0000000,RA001833
TXN0000000,RA001834
TXN0000001,RA001835
TXN0000000,RA001836
TXN0000014,RA001837
TXN0000010,RA001838
TXN0000024,RA001839
TXN0000000,RA001840
TXN0000137,RA001841
TXN0000000,RA001842
TXN0000000,RA001843
TXN0000004,RA001844
TXN0000010,RA001845
TXN0000000,RA001846
TXN0000002,RA001847
TXN0000004,RA001848
TXN0000003,RA001849
TXN0000000,RA001850
TXN0000007,RA001851
TXN0000480,RA001852
TXN0000001,RA001853
TXN0000005,RA001854
TXN0000001,RA001855
TXN0000000,RA001856
TXN0000000,RA001857
TXN0000000,RA001858
TXN0000002,RA001859
TXN0000004,RA001860
TXN0000001,RA001861
TXN0000000,RA001862
TXN0000001,RA001863
TXN0000003,RA001864
TXN0000017,RA001865
TXN0000000,RA001866
TXN0000000,RA001867
TXN0000000,RA001868
TXN0000788,RA001869
TXN0000119,RA001870
TXN0000001,RA001871
TXN0000000,RA001872
TXN0000001,RA001873
TXN0000000,RA001874
TXN0000753,RA001875
TXN0000001,RA001876
TXN0000001,RA001877
TXN0000000,RA001878
TXN0000117,RA001879
TXN0000000,RA001880
TXN0000000,RA001881
TXN0000000,RA001882
TXN0000000,RA001883
TXN0000000,RA001884
TXN0000000,RA001885
TXN0000006,RA001886
TXN0000031,RA001887
TXN0000000,RA001888
TXN0000000,RA001889
TXN0000000,RA001890
TXN0000000,RA001891
TXN0000000,RA001892
TXN0000000,RA001893
TXN0000000,RA001894
TXN0000000,RA001895
TXN0000038,RA001896
TXN0000000,RA001897
TXN0000099,RA001898
TXN0000001,RA001899
TXN0000018,RA001900
TXN0000015,RA001901
TXN0000000,RA001902
TXN0000000,RA001903
TXN0000001,RA001904
TXN0000000,RA001905
TXN0000000,RA001906
TXN0000000,RA001907
TXN0000000,RA001908
TXN0000002,RA001909
TXN0000000,RA001910
TXN0000001,RA001911
TXN0000002,RA001912
TXN0000000,RA001913
TXN0000001,RA001914
TXN0000000,RA001915
TXN0000009,RA001916
TXN0000000,RA001917
TXN0000012,RA001918
TXN0000002,RA001919
TXN0000101,RA001920
TXN0000002,RA001921
TXN0000003,RA001922
TXN0000000,RA001923
TXN0000000,RA001924
TXN0000001,RA001925
TXN0000123,RA001926
TXN0000001,RA001927
TXN0000005,RA001928
TXN0000001,RA001929
TXN0000000,RA001930
TXN0000000,RA001931
TXN0000013,RA001932
TXN0000061,RA001933
TXN0000000,RA001934
TXN0000000,RA001935
TXN0000009,RA001936
TXN0000002,RA001937
TXN0000019,RA001938
TXN0000000,RA001939
TXN0000000,RA001940
TXN0000006,RA001941
TXN0000000,RA001942
TXN0000025,RA001943
TXN0000001,RA001944
TXN0000000,RA001945
TXN0000071,RA001946
TXN0001999,RA001947
TXN0000000,RA001948
TXN0000003,RA001949
TXN0000000,RA001950
TXN0000002,RA001951
TXN0000000,RA001952
TXN0000004,RA001953
TXN0000020,RA001954
TXN0000011,RA001955
TXN0000013,RA001956
TXN0000001,RA001957
TXN0000000,RA001958
TXN0000000,RA001959
TXN0000000,RA001960
TXN0000004,RA001961
TXN0000005,RA001962
TXN0000001,RA001963
TXN0000000,RA001964
TXN0000022,RA001965
TXN0000018,RA001966
TXN0000002,RA001967
TXN0000000,RA001968
TXN0000003,RA001969
TXN0000003,RA001970
TXN0000026,RA001971
TXN0000003,RA001972
TXN0000017,RA001973
TXN0000000,RA001974
TXN0000018,RA001975
TXN0000027,RA001976
TXN0000061,RA001977
TXN0000000,RA001978
TXN0000002,RA001979
TXN0000001,RA001980
TXN0000012,RA001981
TXN0000000,RA001982
TXN0000003,RA001983
TXN0000002,RA001984
TXN0000000,RA001985
TXN0000006,RA001986
TXN0000000,RA001987
TXN0000175,RA001988
TXN0000000,RA001989
TXN0000000,RA001990
TXN0000000,RA001991
TXN0000001,RA001992
TXN0000002,RA001993
TXN0000004,RA001994
TXN0000003,RA001995
TXN0000000,RA001996
TXN0000001,RA001997
TXN0001999,RA001998
TXN0000000,RA001999
