PaymentTransaction,AuditLog
TXN0000001,LOG0000997
TXN0000075,LOG0000998
TXN0000003,LOG0000999
TXN0000001,LOG0001000
TXN0000000,LOG0001001
TXN0000000,LOG0001002
TXN0000022,LOG0001003
TXN0000000,LOG0001004
TXN0000003,LOG0001005
TXN0000000,LOG0001006
TXN0000000,LOG0001007
TXN0000000,LOG0001008
TXN0000002,LOG0001009
TXN0000000,LOG0001010
TXN0000008,LOG0001011
TXN0000004,LOG0001012
TXN0000000,LOG0001013
TXN0000000,LOG0001014
TXN0000001,LOG0001015
TXN0000004,LOG0001016
TXN0000000,LOG0001017
TXN0000000,LOG0001018
TXN0000801,LOG0001019
TXN0000001,LOG0001020
TXN0000000,LOG0001021
TXN0000000,LOG0001022
TXN0000001,LOG0001023
TXN0000000,LOG0001024
TXN0000000,LOG0001025
TXN0000031,LOG0001026
TXN0000000,LOG0001027
TXN0000002,LOG0001028
TXN0000000,LOG0001029
TXN0000000,LOG0001030
TXN0000003,LOG0001031
TXN0000000,LOG0001032
TXN0000001,LOG0001033
TXN0000000,LOG0001034
TXN0000000,LOG0001035
TXN0000011,LOG0001036
TXN0000000,LOG0001037
TXN0000000,LOG0001038
TXN0000013,LOG0001039
TXN0000000,LOG0001040
TXN0000007,LOG0001041
TXN0000010,LOG0001042
TXN0000001,LOG0001043
TXN0000000,LOG0001044
TXN0000000,LOG0001045
TXN0000005,LOG0001046
TXN0000000,LOG0001047
TXN0000000,LOG0001048
TXN0000031,LOG0001049
TXN0000000,LOG0001050
TXN0000003,LOG0001051
TXN0000003,LOG0001052
TXN0000003,LOG0001053
TXN0001999,LOG0001054
TXN0000002,LOG0001055
TXN0000003,LOG0001056
TXN0000002,LOG0001057
TXN0000000,LOG0001058
TXN0000000,LOG0001059
TXN0000000,LOG0001060
TXN0000002,LOG0001061
TXN0000000,LOG0001062
TXN0000001,LOG0001063
TXN0000000,LOG0001064
TXN0000000,LOG0001065
TXN0000001,LOG0001066
TXN0000765,LOG0001067
TXN0000000,LOG0001068
TXN0000004,LOG0001069
TXN0000000,LOG0001070
TXN0000000,LOG0001071
TXN0000001,LOG0001072
TXN0000004,LOG0001073
TXN0000000,LOG0001074
TXN0000000,LOG0001075
TXN0000014,LOG0001076
TXN0000000,LOG0001077
TXN0000003,LOG0001078
TXN0000002,LOG0001079
TXN0000000,LOG0001080
TXN0000000,LOG0001081
TXN0000000,LOG0001082
TXN0000001,LOG0001083
TXN0000001,LOG0001084
TXN0000001,LOG0001085
TXN0001999,LOG0001086
TXN0000206,LOG0001087
TXN0000003,LOG0001088
TXN0000020,LOG0001089
TXN0000002,LOG0001090
TXN0000000,LOG0001091
TXN0000090,LOG0001092
TXN0000004,LOG0001093
TXN0000001,LOG0001094
TXN0000027,LOG0001095
TXN0000004,LOG0001096
TXN0000000,LOG0001097
TXN0000001,LOG0001098
TXN0000000,LOG0001099
TXN0000001,LOG0001100
TXN0001999,LOG0001101
TXN0000281,LOG0001102
TXN0000000,LOG0001103
TXN0000046,LOG0001104
TXN0000787,LOG0001105
TXN0000000,LOG0001106
TXN0000000,LOG0001107
TXN0000032,LOG0001108
TXN0000003,LOG0001109
TXN0000000,LOG0001110
TXN0000000,LOG0001111
TXN0000000,LOG0001112
TXN0000016,LOG0001113
TXN0000000,LOG0001114
TXN0000000,LOG0001115
TXN0000015,LOG0001116
TXN0000003,LOG0001117
TXN0000000,LOG0001118
TXN0000129,LOG0001119
TXN0000000,LOG0001120
TXN0000000,LOG0001121
TXN0000001,LOG0001122
TXN0000000,LOG0001123
TXN0000000,LOG0001124
TXN0000002,LOG0001125
TXN0000000,LOG0001126
TXN0000001,LOG0001127
TXN0000000,LOG0001128
TXN0000423,LOG0001129
TXN0000052,LOG0001130
TXN0000452,LOG0001131
TXN0001999,LOG0001132
TXN0000002,LOG0001133
TXN0000002,LOG0001134
TXN0000830,LOG0001135
TXN0000007,LOG0001136
TXN0000031,LOG0001137
TXN0001999,LOG0001138
TXN0000000,LOG0001139
TXN0000019,LOG0001140
TXN0000000,LOG0001141
TXN0000011,LOG0001142
TXN0000007,LOG0001143
TXN0000008,LOG0001144
TXN0000000,LOG0001145
TXN0000002,LOG0001146
TXN0000001,LOG0001147
TXN0000000,LOG0001148
TXN0000003,LOG0001149
TXN0000077,LOG0001150
TXN0000014,LOG0001151
TXN0000000,LOG0001152
TXN0000000,LOG0001153
TXN0000003,LOG0001154
TXN0000000,LOG0001155
TXN0000001,LOG0001156
TXN0000004,LOG0001157
TXN0000000,LOG0001158
TXN0000018,LOG0001159
TXN0000000,LOG0001160
TXN0000000,LOG0001161
TXN0000056,LOG0001162
TXN0000000,LOG0001163
TXN0000000,LOG0001164
TXN0000015,LOG0001165
TXN0000000,LOG0001166
TXN0000002,LOG0001167
TXN0000000,LOG0001168
TXN0000008,LOG0001169
TXN0000000,LOG0001170
TXN0000000,LOG0001171
TXN0000000,LOG0001172
TXN0000000,LOG0001173
TXN0000000,LOG0001174
TXN0000000,LOG0001175
TXN0000000,LOG0001176
TXN0000021,LOG0001177
TXN0000003,LOG0001178
TXN0000002,LOG0001179
TXN0000000,LOG0001180
TXN0000001,LOG0001181
TXN0000000,LOG0001182
TXN0000006,LOG0001183
TXN0000009,LOG0001184
TXN0000006,LOG0001185
TXN0000000,LOG0001186
TXN0000001,LOG0001187
TXN0001999,LOG0001188
TXN0000002,LOG0001189
TXN0000025,LOG0001190
TXN0000000,LOG0001191
TXN0000000,LOG0001192
TXN0000012,LOG0001193
TXN0000000,LOG0001194
TXN0000000,LOG0001195
TXN0000000,LOG0001196
TXN0000000,LOG0001197
TXN0000000,LOG0001198
TXN0000002,LOG0001199
TXN0000000,LOG0001200
TXN0000092,LOG0001201
TXN0000000,LOG0001202
TXN0000448,LOG0001203
TXN0000001,LOG0001204
TXN0000000,LOG0001205
TXN0000000,LOG0001206
TXN0000005,LOG0001207
TXN0000000,LOG0001208
TXN0000000,LOG0001209
TXN0000000,LOG0001210
TXN0000002,LOG0001211
TXN0000000,LOG0001212
TXN0000000,LOG0001213
TXN0000002,LOG0001214
TXN0000005,LOG0001215
TXN0000000,LOG0001216
TXN0000017,LOG0001217
TXN0000009,LOG0001218
TXN0000002,LOG0001219
TXN0000001,LOG0001220
TXN0000000,LOG0001221
TXN0000000,LOG0001222
TXN0000000,LOG0001223
TXN0000206,LOG0001224
TXN0000001,LOG0001225
TXN0000008,LOG0001226
TXN0000000,LOG0001227
TXN0000119,LOG0001228
TXN0000028,LOG0001229
TXN0000000,LOG0001230
TXN0000001,LOG0001231
TXN0000001,LOG0001232
TXN0000000,LOG0001233
TXN0000005,LOG0001234
TXN0000001,LOG0001235
TXN0000002,LOG0001236
TXN0000053,LOG0001237
TXN0000001,LOG0001238
TXN0000018,LOG0001239
TXN0000000,LOG0001240
TXN0000000,LOG0001241
TXN0000000,LOG0001242
TXN0000002,LOG0001243
TXN0000000,LOG0001244
TXN0000002,LOG0001245
TXN0000006,LOG0001246
TXN0000020,LOG0001247
TXN0000823,LOG0001248
TXN0000004,LOG0001249
TXN0000001,LOG0001250
TXN0000005,LOG0001251
TXN0000000,LOG0001252
TXN0000000,LOG0001253
TXN0000001,LOG0001254
TXN0000005,LOG0001255
TXN0000012,LOG0001256
TXN0000000,LOG0001257
TXN0000000,LOG0001258
TXN0000000,LOG0001259
TXN0000004,LOG0001260
TXN0001161,LOG0001261
TXN0000007,LOG0001262
TXN0000016,LOG0001263
TXN0000099,LOG0001264
TXN0000004,LOG0001265
TXN0000005,LOG0001266
TXN0000000,LOG0001267
TXN0000000,LOG0001268
TXN0000001,LOG0001269
TXN0000003,LOG0001270
TXN0000005,LOG0001271
TXN0000000,LOG0001272
TXN0000007,LOG0001273
TXN0000000,LOG0001274
TXN0000004,LOG0001275
TXN0000000,LOG0001276
TXN0000013,LOG0001277
TXN0000008,LOG0001278
TXN0000000,LOG0001279
TXN0000003,LOG0001280
TXN0000004,LOG0001281
TXN0000000,LOG0001282
TXN0000000,LOG0001283
TXN0000003,LOG0001284
TXN0000000,LOG0001285
TXN0000011,LOG0001286
TXN0000067,LOG0001287
TXN0000000,LOG0001288
TXN0000000,LOG0001289
TXN0001999,LOG0001290
TXN0000000,LOG0001291
TXN0000015,LOG0001292
TXN0000007,LOG0001293
TXN0000003,LOG0001294
TXN0000023,LOG0001295
TXN0000000,LOG0001296
TXN0000002,LOG0001297
TXN0000005,LOG0001298
TXN0000001,LOG0001299
TXN0000012,LOG0001300
TXN0000001,LOG0001301
TXN0001999,LOG0001302
TXN0000000,LOG0001303
TXN0000054,LOG0001304
TXN0000000,LOG0001305
TXN0000000,LOG0001306
TXN0000001,LOG0001307
TXN0000012,LOG0001308
TXN0000000,LOG0001309
TXN0000031,LOG0001310
TXN0000078,LOG0001311
TXN0001999,LOG0001312
TXN0000000,LOG0001313
TXN0000000,LOG0001314
TXN0000000,LOG0001315
TXN0000002,LOG0001316
TXN0000000,LOG0001317
TXN0000016,LOG0001318
TXN0000001,LOG0001319
TXN0000005,LOG0001320
TXN0000000,LOG0001321
TXN0000000,LOG0001322
TXN0000000,LOG0001323
TXN0000001,LOG0001324
TXN0000007,LOG0001325
TXN0000001,LOG0001326
TXN0000000,LOG0001327
TXN0000028,LOG0001328
TXN0000136,LOG0001329
TXN0000050,LOG0001330
TXN0000000,LOG0001331
TXN0000000,LOG0001332
TXN0000047,LOG0001333
TXN0000000,LOG0001334
TXN0000069,LOG0001335
TXN0000001,LOG0001336
TXN0000001,LOG0001337
TXN0000006,LOG0001338
TXN0000000,LOG0001339
TXN0000003,LOG0001340
TXN0000000,LOG0001341
TXN0000063,LOG0001342
TXN0000001,LOG0001343
TXN0000018,LOG0001344
TXN0000001,LOG0001345
TXN0000013,LOG0001346
TXN0000000,LOG0001347
TXN0000000,LOG0001348
TXN0000024,LOG0001349
TXN0000000,LOG0001350
TXN0001999,LOG0001351
TXN0000665,LOG0001352
TXN0000000,LOG0001353
TXN0000052,LOG0001354
TXN0000008,LOG0001355
TXN0000051,LOG0001356
TXN0000000,LOG0001357
TXN0000590,LOG0001358
TXN0000000,LOG0001359
TXN0000017,LOG0001360
TXN0000000,LOG0001361
TXN0000000,LOG0001362
TXN0000001,LOG0001363
TXN0000001,LOG0001364
TXN0000001,LOG0001365
TXN0000001,LOG0001366
TXN0000000,LOG0001367
TXN0000068,LOG0001368
TXN0000008,LOG0001369
TXN0000000,LOG0001370
TXN0000001,LOG0001371
TXN0000000,LOG0001372
TXN0000000,LOG0001373
TXN0000000,LOG0001374
TXN0000000,LOG0001375
TXN0000007,LOG0001376
TXN0000024,LOG0001377
TXN0000000,LOG0001378
TXN0001999,LOG0001379
TXN0000140,LOG0001380
TXN0000001,LOG0001381
TXN0000006,LOG0001382
TXN0000000,LOG0001383
TXN0000002,LOG0001384
TXN0000001,LOG0001385
TXN0000000,LOG0001386
TXN0000007,LOG0001387
TXN0000000,LOG0001388
TXN0000000,LOG0001389
TXN0000001,LOG0001390
TXN0000247,LOG0001391
TXN0000004,LOG0001392
TXN0000001,LOG0001393
TXN0000047,LOG0001394
TXN0000001,LOG0001395
TXN0000000,LOG0001396
TXN0000007,LOG0001397
TXN0000007,LOG0001398
TXN0000007,LOG0001399
TXN0000004,LOG0001400
TXN0000004,LOG0001401
TXN0000001,LOG0001402
TXN0000001,LOG0001403
TXN0000002,LOG0001404
TXN0000014,LOG0001405
TXN0000000,LOG0001406
TXN0000010,LOG0001407
TXN0000000,LOG0001408
TXN0000009,LOG0001409
TXN0000013,LOG0001410
TXN0000004,LOG0001411
TXN0000000,LOG0001412
TXN0000017,LOG0001413
TXN0000000,LOG0001414
TXN0000000,LOG0001415
TXN0000050,LOG0001416
TXN0000001,LOG0001417
TXN0000002,LOG0001418
TXN0000000,LOG0001419
TXN0000000,LOG0001420
TXN0000039,LOG0001421
TXN0000189,LOG0001422
TXN0000269,LOG0001423
TXN0000000,LOG0001424
TXN0000091,LOG0001425
TXN0000000,LOG0001426
TXN0000001,LOG0001427
TXN0000000,LOG0001428
TXN0000000,LOG0001429
TXN0000002,LOG0001430
TXN0000006,LOG0001431
TXN0000001,LOG0001432
TXN0000000,LOG0001433
TXN0000031,LOG0001434
TXN0000000,LOG0001435
TXN0000001,LOG0001436
TXN0000000,LOG0001437
TXN0000000,LOG0001438
TXN0000001,LOG0001439
TXN0000002,LOG0001440
TXN0000001,LOG0001441
TXN0000003,LOG0001442
TXN0000000,LOG0001443
TXN0000000,LOG0001444
TXN0000003,LOG0001445
TXN0000000,LOG0001446
TXN0000000,LOG0001447
TXN0000000,LOG0001448
TXN0000003,LOG0001449
TXN0000002,LOG0001450
TXN0000004,LOG0001451
TXN0000000,LOG0001452
TXN0000000,LOG0001453
TXN0000003,LOG0001454
TXN0000023,LOG0001455
TXN0000004,LOG0001456
TXN0000001,LOG0001457
TXN0000003,LOG0001458
TXN0000054,LOG0001459
TXN0000000,LOG0001460
TXN0000000,LOG0001461
TXN0000026,LOG0001462
TXN0000003,LOG0001463
TXN0000036,LOG0001464
TXN0000001,LOG0001465
TXN0000008,LOG0001466
TXN0000000,LOG0001467
TXN0000000,LOG0001468
TXN0000000,LOG0001469
TXN0000000,LOG0001470
TXN0000003,LOG0001471
TXN0000001,LOG0001472
TXN0000000,LOG0001473
TXN0000015,LOG0001474
TXN0000000,LOG0001475
TXN0000002,LOG0001476
TXN0000000,LOG0001477
TXN0000003,LOG0001478
TXN0000000,LOG0001479
TXN0000000,LOG0001480
TXN0000000,LOG0001481
TXN0000000,LOG0001482
TXN0000000,LOG0001483
TXN0000000,LOG0001484
TXN0000000,LOG0001485
TXN0000001,LOG0001486
TXN0000018,LOG0001487
TXN0000003,LOG0001488
TXN0000000,LOG0001489
TXN0000001,LOG0001490
TXN0000000,LOG0001491
TXN0000001,LOG0001492
TXN0000001,LOG0001493
TXN0000000,LOG0001494
TXN0000006,LOG0001495
TXN0000003,LOG0001496
TXN0000037,LOG0001497
TXN0000001,LOG0001498
TXN0000000,LOG0001499
TXN0000000,LOG0001500
TXN0000084,LOG0001501
TXN0000003,LOG0001502
TXN0000063,LOG0001503
TXN0000003,LOG0001504
TXN0000003,LOG0001505
TXN0000000,LOG0001506
TXN0000000,LOG0001507
TXN0000022,LOG0001508
TXN0000003,LOG0001509
TXN0000110,LOG0001510
TXN0000002,LOG0001511
TXN0000005,LOG0001512
TXN0000000,LOG0001513
TXN0000000,LOG0001514
TXN0000000,LOG0001515
TXN0000000,LOG0001516
TXN0000070,LOG0001517
TXN0000000,LOG0001518
TXN0000001,LOG0001519
TXN0000000,LOG0001520
TXN0000000,LOG0001521
TXN0000001,LOG0001522
TXN0000000,LOG0001523
TXN0000003,LOG0001524
TXN0000000,LOG0001525
TXN0000000,LOG0001526
TXN0000000,LOG0001527
TXN0000001,LOG0001528
TXN0000000,LOG0001529
TXN0000014,LOG0001530
TXN0000328,LOG0001531
TXN0000007,LOG0001532
TXN0000655,LOG0001533
TXN0000199,LOG0001534
TXN0000000,LOG0001535
TXN0000001,LOG0001536
TXN0000010,LOG0001537
TXN0000027,LOG0001538
TXN0000000,LOG0001539
TXN0000000,LOG0001540
TXN0000013,LOG0001541
TXN0000002,LOG0001542
TXN0000041,LOG0001543
TXN0000003,LOG0001544
TXN0000009,LOG0001545
TXN0000002,LOG0001546
TXN0000000,LOG0001547
TXN0000002,LOG0001548
TXN0000000,LOG0001549
TXN0000000,LOG0001550
TXN0000013,LOG0001551
TXN0000006,LOG0001552
TXN0000002,LOG0001553
TXN0000000,LOG0001554
TXN0000002,LOG0001555
TXN0000000,LOG0001556
TXN0000000,LOG0001557
TXN0000001,LOG0001558
TXN0000001,LOG0001559
TXN0000000,LOG0001560
TXN0000002,LOG0001561
TXN0000002,LOG0001562
TXN0000000,LOG0001563
TXN0000042,LOG0001564
TXN0000007,LOG0001565
TXN0000990,LOG0001566
TXN0000033,LOG0001567
TXN0000000,LOG0001568
TXN0000001,LOG0001569
TXN0000001,LOG0001570
TXN0000000,LOG0001571
TXN0000002,LOG0001572
TXN0000000,LOG0001573
TXN0000001,LOG0001574
TXN0000001,LOG0001575
TXN0000012,LOG0001576
TXN0000000,LOG0001577
TXN0000003,LOG0001578
TXN0000000,LOG0001579
TXN0001655,LOG0001580
TXN0000001,LOG0001581
TXN0000011,LOG0001582
TXN0000000,LOG0001583
TXN0000562,LOG0001584
TXN0000011,LOG0001585
TXN0000009,LOG0001586
TXN0000000,LOG0001587
TXN0000000,LOG0001588
TXN0000003,LOG0001589
TXN0000000,LOG0001590
TXN0000000,LOG0001591
TXN0000020,LOG0001592
TXN0000001,LOG0001593
TXN0000133,LOG0001594
TXN0000001,LOG0001595
TXN0000000,LOG0001596
TXN0000000,LOG0001597
TXN0000003,LOG0001598
TXN0000006,LOG0001599
TXN0000037,LOG0001600
TXN0000000,LOG0001601
TXN0000306,LOG0001602
TXN0000001,LOG0001603
TXN0000006,LOG0001604
TXN0000000,LOG0001605
TXN0000003,LOG0001606
TXN0000064,LOG0001607
TXN0000007,LOG0001608
TXN0000001,LOG0001609
TXN0000000,LOG0001610
TXN0000001,LOG0001611
TXN0000002,LOG0001612
TXN0000000,LOG0001613
TXN0000001,LOG0001614
TXN0000000,LOG0001615
TXN0000000,LOG0001616
TXN0000000,LOG0001617
TXN0000005,LOG0001618
TXN0000000,LOG0001619
TXN0000197,LOG0001620
TXN0000002,LOG0001621
TXN0000000,LOG0001622
TXN0000164,LOG0001623
TXN0001999,LOG0001624
TXN0000001,LOG0001625
TXN0000004,LOG0001626
TXN0000008,LOG0001627
TXN0000001,LOG0001628
TXN0000000,LOG0001629
TXN0000000,LOG0001630
TXN0000021,LOG0001631
TXN0000001,LOG0001632
TXN0000000,LOG0001633
TXN0000134,LOG0001634
TXN0000023,LOG0001635
TXN0000004,LOG0001636
TXN0000000,LOG0001637
TXN0000000,LOG0001638
TXN0000053,LOG0001639
TXN0000001,LOG0001640
TXN0000000,LOG0001641
TXN0000001,LOG0001642
TXN0000000,LOG0001643
TXN0000000,LOG0001644
TXN0000002,LOG0001645
TXN0000000,LOG0001646
TXN0000006,LOG0001647
TXN0000001,LOG0001648
TXN0000000,LOG0001649
TXN0000002,LOG0001650
TXN0000001,LOG0001651
TXN0000001,LOG0001652
TXN0000000,LOG0001653
TXN0000000,LOG0001654
TXN0000002,LOG0001655
TXN0000001,LOG0001656
TXN0000000,LOG0001657
TXN0000016,LOG0001658
TXN0000008,LOG0001659
TXN0000011,LOG0001660
TXN0000000,LOG0001661
TXN0000001,LOG0001662
TXN0000001,LOG0001663
TXN0000002,LOG0001664
TXN0000002,LOG0001665
TXN0000005,LOG0001666
TXN0000001,LOG0001667
TXN0000000,LOG0001668
TXN0000000,LOG0001669
TXN0000001,LOG0001670
TXN0000003,LOG0001671
TXN0000006,LOG0001672
TXN0000000,LOG0001673
TXN0000000,LOG0001674
TXN0000000,LOG0001675
TXN0000097,LOG0001676
TXN0000001,LOG0001677
TXN0000000,LOG0001678
TXN0000275,LOG0001679
TXN0000001,LOG0001680
TXN0000001,LOG0001681
TXN0000011,LOG0001682
TXN0000000,LOG0001683
TXN0000211,LOG0001684
TXN0000002,LOG0001685
TXN0000003,LOG0001686
TXN0000000,LOG0001687
TXN0000000,LOG0001688
TXN0000003,LOG0001689
TXN0000003,LOG0001690
TXN0000001,LOG0001691
TXN0000000,LOG0001692
TXN0000000,LOG0001693
TXN0000011,LOG0001694
TXN0000579,LOG0001695
TXN0000003,LOG0001696
TXN0000002,LOG0001697
TXN0000006,LOG0001698
TXN0000000,LOG0001699
TXN0000000,LOG0001700
TXN0000027,LOG0001701
TXN0000000,LOG0001702
TXN0000000,LOG0001703
TXN0000000,LOG0001704
TXN0000116,LOG0001705
TXN0000005,LOG0001706
TXN0000000,LOG0001707
TXN0000002,LOG0001708
TXN0000000,LOG0001709
TXN0000004,LOG0001710
TXN0000023,LOG0001711
TXN0000001,LOG0001712
TXN0000007,LOG0001713
TXN0000018,LOG0001714
TXN0000003,LOG0001715
TXN0000012,LOG0001716
TXN0000000,LOG0001717
TXN0000000,LOG0001718
TXN0000002,LOG0001719
TXN0000187,LOG0001720
TXN0000019,LOG0001721
TXN0000000,LOG0001722
TXN0000001,LOG0001723
TXN0000000,LOG0001724
TXN0000005,LOG0001725
TXN0000004,LOG0001726
TXN0001999,LOG0001727
TXN0000010,LOG0001728
TXN0000012,LOG0001729
TXN0000005,LOG0001730
TXN0000000,LOG0001731
TXN0000108,LOG0001732
TXN0000158,LOG0001733
TXN0000000,LOG0001734
TXN0000001,LOG0001735
TXN0001018,LOG0001736
TXN0000003,LOG0001737
TXN0000150,LOG0001738
TXN0001999,LOG0001739
TXN0000006,LOG0001740
TXN0000044,LOG0001741
TXN0000001,LOG0001742
TXN0000026,LOG0001743
TXN0000001,LOG0001744
TXN0000030,LOG0001745
TXN0000319,LOG0001746
TXN0000050,LOG0001747
TXN0000000,LOG0001748
TXN0000000,LOG0001749
TXN0000000,LOG0001750
TXN0000004,LOG0001751
TXN0000001,LOG0001752
TXN0000000,LOG0001753
TXN0000073,LOG0001754
TXN0000005,LOG0001755
TXN0000043,LOG0001756
TXN0000000,LOG0001757
TXN0000072,LOG0001758
TXN0000008,LOG0001759
TXN0000002,LOG0001760
TXN0000000,LOG0001761
TXN0000000,LOG0001762
TXN0000012,LOG0001763
TXN0000000,LOG0001764
TXN0000000,LOG0001765
TXN0000001,LOG0001766
TXN0000000,LOG0001767
TXN0000000,LOG0001768
TXN0000001,LOG0001769
TXN0000003,LOG0001770
TXN0000048,LOG0001771
TXN0000040,LOG0001772
TXN0000000,LOG0001773
TXN0000002,LOG0001774
TXN0000026,LOG0001775
TXN0000079,LOG0001776
TXN0000000,LOG0001777
TXN0000056,LOG0001778
TXN0000000,LOG0001779
TXN0000002,LOG0001780
TXN0000000,LOG0001781
TXN0000001,LOG0001782
TXN0000002,LOG0001783
TXN0000041,LOG0001784
TXN0000010,LOG0001785
TXN0000000,LOG0001786
TXN0000000,LOG0001787
TXN0000004,LOG0001788
TXN0000000,LOG0001789
TXN0000005,LOG0001790
TXN0000002,LOG0001791
TXN0000000,LOG0001792
TXN0000003,LOG0001793
TXN0000004,LOG0001794
TXN0000317,LOG0001795
TXN0000000,LOG0001796
TXN0000000,LOG0001797
TXN0000001,LOG0001798
TXN0000000,LOG0001799
TXN0000196,LOG0001800
TXN0000022,LOG0001801
TXN0000000,LOG0001802
TXN0000000,LOG0001803
TXN0000000,LOG0001804
TXN0000005,LOG0001805
TXN0000012,LOG0001806
TXN0000001,LOG0001807
TXN0000000,LOG0001808
TXN0000000,LOG0001809
TXN0000002,LOG0001810
TXN0000000,LOG0001811
TXN0000000,LOG0001812
TXN0000000,LOG0001813
TXN0000000,LOG0001814
TXN0000000,LOG0001815
TXN0000030,LOG0001816
TXN0000000,LOG0001817
TXN0000002,LOG0001818
TXN0000002,LOG0001819
TXN0000000,LOG0001820
TXN0000007,LOG0001821
TXN0000073,LOG0001822
TXN0000001,LOG0001823
TXN0000000,LOG0001824
TXN0000027,LOG0001825
TXN0000000,LOG0001826
TXN0000007,LOG0001827
TXN0000020,LOG0001828
TXN0000022,LOG0001829
TXN0000008,LOG0001830
TXN0000000,LOG0001831
TXN0000000,LOG0001832
TXN0000000,LOG0001833
TXN0000004,LOG0001834
TXN0000006,LOG0001835
TXN0000027,LOG0001836
TXN0000004,LOG0001837
TXN0000001,LOG0001838
TXN0000000,LOG0001839
TXN0000003,LOG0001840
TXN0000033,LOG0001841
TXN0000000,LOG0001842
TXN0000000,LOG0001843
TXN0000003,LOG0001844
TXN0000000,LOG0001845
TXN0000000,LOG0001846
TXN0000001,LOG0001847
TXN0000008,LOG0001848
TXN0000007,LOG0001849
TXN0000000,LOG0001850
TXN0000007,LOG0001851
TXN0000004,LOG0001852
TXN0000001,LOG0001853
TXN0000004,LOG0001854
TXN0000047,LOG0001855
TXN0000000,LOG0001856
TXN0000005,LOG0001857
TXN0000001,LOG0001858
TXN0000029,LOG0001859
TXN0000000,LOG0001860
TXN0000000,LOG0001861
TXN0000000,LOG0001862
TXN0000000,LOG0001863
TXN0000031,LOG0001864
TXN0000000,LOG0001865
TXN0000125,LOG0001866
TXN0000000,LOG0001867
TXN0000001,LOG0001868
TXN0000003,LOG0001869
TXN0000002,LOG0001870
TXN0000001,LOG0001871
TXN0000001,LOG0001872
TXN0000003,LOG0001873
TXN0000005,LOG0001874
TXN0000000,LOG0001875
TXN0000001,LOG0001876
TXN0000001,LOG0001877
TXN0000141,LOG0001878
TXN0000000,LOG0001879
TXN0000003,LOG0001880
TXN0000002,LOG0001881
TXN0000019,LOG0001882
TXN0000000,LOG0001883
TXN0000000,LOG0001884
TXN0000000,LOG0001885
TXN0000000,LOG0001886
TXN0000000,LOG0001887
TXN0000022,LOG0001888
TXN0000014,LOG0001889
TXN0000000,LOG0001890
TXN0000014,LOG0001891
TXN0000002,LOG0001892
TXN0000000,LOG0001893
TXN0000004,LOG0001894
TXN0000141,LOG0001895
TXN0000000,LOG0001896
TXN0000074,LOG0001897
TXN0000013,LOG0001898
TXN0000002,LOG0001899
TXN0000000,LOG0001900
TXN0000003,LOG0001901
TXN0000025,LOG0001902
TXN0000000,LOG0001903
TXN0000000,LOG0001904
TXN0000028,LOG0001905
TXN0000002,LOG0001906
TXN0000001,LOG0001907
TXN0000000,LOG0001908
TXN0000003,LOG0001909
TXN0000000,LOG0001910
TXN0000002,LOG0001911
TXN0000003,LOG0001912
TXN0000024,LOG0001913
TXN0000000,LOG0001914
TXN0000019,LOG0001915
TXN0000004,LOG0001916
TXN0000000,LOG0001917
TXN0000017,LOG0001918
TXN0000019,LOG0001919
TXN0000007,LOG0001920
TXN0000002,LOG0001921
TXN0000000,LOG0001922
TXN0000025,LOG0001923
TXN0000001,LOG0001924
TXN0000116,LOG0001925
TXN0000000,LOG0001926
TXN0000000,LOG0001927
TXN0000006,LOG0001928
TXN0000000,LOG0001929
TXN0000003,LOG0001930
TXN0000144,LOG0001931
TXN0000001,LOG0001932
TXN0000190,LOG0001933
TXN0000003,LOG0001934
TXN0000002,LOG0001935
TXN0000000,LOG0001936
TXN0000000,LOG0001937
TXN0000006,LOG0001938
TXN0000000,LOG0001939
TXN0000000,LOG0001940
TXN0000003,LOG0001941
TXN0000159,LOG0001942
TXN0000000,LOG0001943
TXN0000000,LOG0001944
TXN0000003,LOG0001945
TXN0000029,LOG0001946
TXN0000002,LOG0001947
TXN0000013,LOG0001948
TXN0000000,LOG0001949
TXN0000000,LOG0001950
TXN0000010,LOG0001951
TXN0000001,LOG0001952
TXN0000022,LOG0001953
TXN0000002,LOG0001954
TXN0000000,LOG0001955
TXN0000001,LOG0001956
TXN0000000,LOG0001957
TXN0000001,LOG0001958
TXN0000001,LOG0001959
TXN0000006,LOG0001960
TXN0000000,LOG0001961
TXN0000005,LOG0001962
TXN0000000,LOG0001963
TXN0000003,LOG0001964
TXN0000007,LOG0001965
TXN0000000,LOG0001966
TXN0000000,LOG0001967
TXN0000011,LOG0001968
TXN0000027,LOG0001969
TXN0000005,LOG0001970
TXN0000003,LOG0001971
TXN0000000,LOG0001972
TXN0000001,LOG0001973
TXN0000001,LOG0001974
TXN0000002,LOG0001975
TXN0000002,LOG0001976
TXN0000001,LOG0001977
TXN0000004,LOG0001978
TXN0000000,LOG0001979
TXN0000001,LOG0001980
TXN0000004,LOG0001981
TXN0000001,LOG0001982
TXN0000006,LOG0001983
TXN0000008,LOG0001984
TXN0000000,LOG0001985
TXN0000000,LOG0001986
TXN0000003,LOG0001987
TXN0001242,LOG0001988
TXN0000103,LOG0001989
TXN0000021,LOG0001990
TXN0000000,LOG0001991
TXN0000136,LOG0001992
TXN0000000,LOG0001993
TXN0000000,LOG0001994
