PaymentTransaction,PaymentMethod
TXN0001163,PM000000
TXN0001164,PM000699
TXN0001165,PM000087
TXN0001166,PM000003
TXN0001167,PM000000
TXN0001168,PM000070
TXN0001169,PM000000
TXN0001170,PM000251
TXN0001171,PM000004
TXN0001172,PM000008
TXN0001173,PM000012
TXN0001174,PM000000
TXN0001175,PM000000
TXN0001176,PM000000
TXN0001177,PM000001
TXN0001178,PM000031
TXN0001179,PM000014
TXN0001180,PM000000
TXN0001181,PM000001
TXN0001182,PM000002
TXN0001183,PM000282
TXN0001184,PM000000
TXN0001185,PM000030
TXN0001186,PM000063
TXN0001187,PM000005
TXN0001188,PM000002
TXN0001189,PM000001
TXN0001190,PM000002
TXN0001191,PM000699
TXN0001192,PM000001
TXN0001193,PM000000
TXN0001194,PM000119
TXN0001195,PM000699
TXN0001196,PM000012
TXN0001197,PM000048
TXN0001198,PM000002
TXN0001199,PM000699
TXN0001200,PM000005
TXN0001201,PM000000
TXN0001202,PM000001
TXN0001203,PM000060
TXN0001204,PM000027
TXN0001205,PM000087
TXN0001206,PM000079
TXN0001207,PM000015
TXN0001208,PM000437
TXN0001209,PM000000
TXN0001210,PM000023
TXN0001211,PM000699
TXN0001212,PM000001
TXN0001213,PM000101
TXN0001214,PM000027
TXN0001215,PM000000
TXN0001216,PM000173
TXN0001217,PM000002
TXN0001218,PM000202
TXN0001219,PM000003
TXN0001220,PM000136
TXN0001221,PM000002
TXN0001222,PM000031
TXN0001223,PM000291
TXN0001224,PM000000
TXN0001225,PM000000
TXN0001226,PM000001
TXN0001227,PM000000
TXN0001228,PM000000
TXN0001229,PM000000
TXN0001230,PM000000
TXN0001231,PM000001
TXN0001232,PM000699
TXN0001233,PM000014
TXN0001234,PM000003
TXN0001235,PM000013
TXN0001236,PM000001
TXN0001237,PM000000
TXN0001238,PM000000
TXN0001239,PM000003
TXN0001240,PM000007
TXN0001241,PM000105
TXN0001242,PM000699
TXN0001243,PM000007
TXN0001244,PM000002
TXN0001245,PM000001
TXN0001246,PM000141
TXN0001247,PM000014
TXN0001248,PM000016
TXN0001249,PM000039
TXN0001250,PM000000
TXN0001251,PM000000
TXN0001252,PM000001
TXN0001253,PM000000
TXN0001254,PM000699
TXN0001255,PM000018
TXN0001256,PM000000
TXN0001257,PM000002
TXN0001258,PM000699
TXN0001259,PM000002
TXN0001260,PM000001
TXN0001261,PM000010
TXN0001262,PM000002
TXN0001263,PM000574
TXN0001264,PM000699
TXN0001265,PM000001
TXN0001266,PM000699
TXN0001267,PM000019
TXN0001268,PM000004
TXN0001269,PM000699
TXN0001270,PM000000
TXN0001271,PM000003
TXN0001272,PM000005
TXN0001273,PM000111
TXN0001274,PM000554
TXN0001275,PM000000
TXN0001276,PM000006
TXN0001277,PM000000
TXN0001278,PM000699
TXN0001279,PM000001
TXN0001280,PM000012
TXN0001281,PM000001
TXN0001282,PM000005
TXN0001283,PM000699
TXN0001284,PM000039
TXN0001285,PM000002
TXN0001286,PM000028
TXN0001287,PM000007
TXN0001288,PM000008
TXN0001289,PM000019
TXN0001290,PM000016
TXN0001291,PM000699
TXN0001292,PM000004
TXN0001293,PM000000
TXN0001294,PM000001
TXN0001295,PM000001
TXN0001296,PM000276
TXN0001297,PM000000
TXN0001298,PM000004
TXN0001299,PM000001
TXN0001300,PM000699
TXN0001301,PM000276
TXN0001302,PM000699
TXN0001303,PM000002
TXN0001304,PM000028
TXN0001305,PM000000
TXN0001306,PM000005
TXN0001307,PM000699
TXN0001308,PM000077
TXN0001309,PM000000
TXN0001310,PM000000
TXN0001311,PM000007
TXN0001312,PM000699
TXN0001313,PM000001
TXN0001314,PM000000
TXN0001315,PM000002
TXN0001316,PM000100
TXN0001317,PM000000
TXN0001318,PM000019
TXN0001319,PM000699
TXN0001320,PM000010
TXN0001321,PM000000
TXN0001322,PM000003
TXN0001323,PM000004
TXN0001324,PM000417
TXN0001325,PM000011
TXN0001326,PM000002
TXN0001327,PM000000
TXN0001328,PM000002
TXN0001329,PM000000
TXN0001330,PM000699
TXN0001331,PM000000
TXN0001332,PM000020
TXN0001333,PM000000
TXN0001334,PM000000
TXN0001335,PM000000
TXN0001336,PM000009
TXN0001337,PM000001
TXN0001338,PM000699
TXN0001339,PM000010
TXN0001340,PM000377
TXN0001341,PM000186
TXN0001342,PM000000
TXN0001343,PM000042
TXN0001344,PM000000
TXN0001345,PM000001
TXN0001346,PM000161
TXN0001347,PM000000
TXN0001348,PM000132
TXN0001349,PM000699
TXN0001350,PM000699
TXN0001351,PM000120
TXN0001352,PM000084
TXN0001353,PM000001
TXN0001354,PM000699
TXN0001355,PM000699
TXN0001356,PM000699
TXN0001357,PM000000
TXN0001358,PM000008
TXN0001359,PM000699
TXN0001360,PM000699
TXN0001361,PM000361
TXN0001362,PM000017
TXN0001363,PM000002
TXN0001364,PM000074
TXN0001365,PM000011
TXN0001366,PM000000
TXN0001367,PM000063
TXN0001368,PM000115
TXN0001369,PM000390
TXN0001370,PM000391
TXN0001371,PM000004
TXN0001372,PM000000
TXN0001373,PM000002
TXN0001374,PM000035
TXN0001375,PM000003
TXN0001376,PM000009
TXN0001377,PM000000
TXN0001378,PM000001
TXN0001379,PM000040
TXN0001380,PM000042
TXN0001381,PM000699
TXN0001382,PM000699
TXN0001383,PM000005
TXN0001384,PM000008
TXN0001385,PM000000
TXN0001386,PM000699
TXN0001387,PM000043
TXN0001388,PM000159
TXN0001389,PM000000
TXN0001390,PM000001
TXN0001391,PM000699
TXN0001392,PM000016
TXN0001393,PM000478
TXN0001394,PM000000
TXN0001395,PM000000
TXN0001396,PM000000
TXN0001397,PM000001
TXN0001398,PM000034
TXN0001399,PM000000
TXN0001400,PM000002
TXN0001401,PM000006
TXN0001402,PM000010
TXN0001403,PM000001
TXN0001404,PM000000
TXN0001405,PM000005
TXN0001406,PM000000
TXN0001407,PM000260
TXN0001408,PM000017
TXN0001409,PM000699
TXN0001410,PM000003
TXN0001411,PM000035
TXN0001412,PM000002
TXN0001413,PM000005
TXN0001414,PM000003
TXN0001415,PM000040
TXN0001416,PM000117
TXN0001417,PM000015
TXN0001418,PM000003
TXN0001419,PM000000
TXN0001420,PM000002
TXN0001421,PM000000
TXN0001422,PM000003
TXN0001423,PM000019
TXN0001424,PM000067
TXN0001425,PM000014
TXN0001426,PM000002
TXN0001427,PM000000
TXN0001428,PM000000
TXN0001429,PM000000
TXN0001430,PM000006
TXN0001431,PM000699
TXN0001432,PM000699
TXN0001433,PM000000
TXN0001434,PM000000
TXN0001435,PM000017
TXN0001436,PM000205
TXN0001437,PM000236
TXN0001438,PM000034
TXN0001439,PM000001
TXN0001440,PM000001
TXN0001441,PM000699
TXN0001442,PM000257
TXN0001443,PM000000
TXN0001444,PM000699
TXN0001445,PM000004
TXN0001446,PM000152
TXN0001447,PM000000
TXN0001448,PM000001
TXN0001449,PM000699
TXN0001450,PM000082
TXN0001451,PM000002
TXN0001452,PM000007
TXN0001453,PM000005
TXN0001454,PM000001
TXN0001455,PM000002
TXN0001456,PM000124
TXN0001457,PM000001
TXN0001458,PM000052
TXN0001459,PM000004
TXN0001460,PM000000
TXN0001461,PM000030
TXN0001462,PM000032
TXN0001463,PM000000
TXN0001464,PM000023
TXN0001465,PM000001
TXN0001466,PM000011
TXN0001467,PM000005
TXN0001468,PM000000
TXN0001469,PM000000
TXN0001470,PM000003
TXN0001471,PM000097
TXN0001472,PM000001
TXN0001473,PM000002
TXN0001474,PM000002
TXN0001475,PM000015
TXN0001476,PM000013
TXN0001477,PM000304
TXN0001478,PM000001
TXN0001479,PM000009
TXN0001480,PM000004
TXN0001481,PM000001
TXN0001482,PM000620
TXN0001483,PM000015
TXN0001484,PM000000
TXN0001485,PM000000
TXN0001486,PM000000
TXN0001487,PM000001
TXN0001488,PM000024
TXN0001489,PM000000
TXN0001490,PM000000
TXN0001491,PM000014
TXN0001492,PM000001
TXN0001493,PM000006
TXN0001494,PM000699
TXN0001495,PM000000
TXN0001496,PM000002
TXN0001497,PM000001
TXN0001498,PM000119
TXN0001499,PM000000
TXN0001500,PM000000
TXN0001501,PM000000
TXN0001502,PM000031
TXN0001503,PM000035
TXN0001504,PM000003
TXN0001505,PM000001
TXN0001506,PM000699
TXN0001507,PM000699
TXN0001508,PM000009
TXN0001509,PM000000
TXN0001510,PM000008
TXN0001511,PM000699
TXN0001512,PM000000
TXN0001513,PM000002
TXN0001514,PM000000
TXN0001515,PM000268
TXN0001516,PM000699
TXN0001517,PM000605
TXN0001518,PM000004
TXN0001519,PM000000
TXN0001520,PM000006
TXN0001521,PM000002
TXN0001522,PM000000
TXN0001523,PM000020
TXN0001524,PM000004
TXN0001525,PM000098
TXN0001526,PM000000
TXN0001527,PM000006
TXN0001528,PM000003
TXN0001529,PM000002
TXN0001530,PM000022
TXN0001531,PM000071
TXN0001532,PM000225
TXN0001533,PM000008
TXN0001534,PM000001
TXN0001535,PM000025
TXN0001536,PM000005
TXN0001537,PM000001
TXN0001538,PM000000
TXN0001539,PM000143
TXN0001540,PM000000
TXN0001541,PM000006
TXN0001542,PM000397
TXN0001543,PM000000
TXN0001544,PM000031
TXN0001545,PM000009
TXN0001546,PM000107
TXN0001547,PM000699
TXN0001548,PM000004
TXN0001549,PM000001
TXN0001550,PM000015
TXN0001551,PM000170
TXN0001552,PM000393
TXN0001553,PM000007
TXN0001554,PM000013
TXN0001555,PM000006
TXN0001556,PM000012
TXN0001557,PM000699
TXN0001558,PM000025
TXN0001559,PM000000
TXN0001560,PM000699
TXN0001561,PM000004
TXN0001562,PM000002
TXN0001563,PM000140
TXN0001564,PM000006
TXN0001565,PM000006
TXN0001566,PM000699
TXN0001567,PM000000
TXN0001568,PM000699
TXN0001569,PM000000
TXN0001570,PM000000
TXN0001571,PM000002
TXN0001572,PM000699
TXN0001573,PM000016
TXN0001574,PM000141
TXN0001575,PM000004
TXN0001576,PM000057
TXN0001577,PM000000
TXN0001578,PM000699
TXN0001579,PM000000
TXN0001580,PM000000
TXN0001581,PM000034
TXN0001582,PM000001
TXN0001583,PM000025
TXN0001584,PM000000
TXN0001585,PM000002
TXN0001586,PM000000
TXN0001587,PM000000
TXN0001588,PM000002
TXN0001589,PM000699
TXN0001590,PM000008
TXN0001591,PM000000
TXN0001592,PM000000
TXN0001593,PM000000
TXN0001594,PM000699
TXN0001595,PM000000
TXN0001596,PM000000
TXN0001597,PM000000
TXN0001598,PM000000
TXN0001599,PM000018
TXN0001600,PM000004
TXN0001601,PM000098
TXN0001602,PM000003
TXN0001603,PM000002
TXN0001604,PM000001
TXN0001605,PM000699
TXN0001606,PM000002
TXN0001607,PM000002
TXN0001608,PM000699
TXN0001609,PM000148
TXN0001610,PM000258
TXN0001611,PM000000
TXN0001612,PM000000
TXN0001613,PM000699
TXN0001614,PM000001
TXN0001615,PM000612
TXN0001616,PM000000
TXN0001617,PM000699
TXN0001618,PM000051
TXN0001619,PM000000
TXN0001620,PM000000
TXN0001621,PM000008
TXN0001622,PM000699
TXN0001623,PM000053
TXN0001624,PM000000
TXN0001625,PM000000
TXN0001626,PM000001
TXN0001627,PM000072
TXN0001628,PM000014
TXN0001629,PM000002
TXN0001630,PM000001
TXN0001631,PM000001
TXN0001632,PM000000
TXN0001633,PM000040
TXN0001634,PM000000
TXN0001635,PM000004
TXN0001636,PM000000
TXN0001637,PM000002
TXN0001638,PM000000
TXN0001639,PM000000
TXN0001640,PM000000
TXN0001641,PM000478
TXN0001642,PM000009
TXN0001643,PM000699
TXN0001644,PM000048
TXN0001645,PM000005
TXN0001646,PM000002
TXN0001647,PM000000
TXN0001648,PM000002
TXN0001649,PM000699
TXN0001650,PM000015
TXN0001651,PM000014
TXN0001652,PM000000
TXN0001653,PM000016
TXN0001654,PM000022
TXN0001655,PM000162
TXN0001656,PM000156
TXN0001657,PM000000
TXN0001658,PM000002
TXN0001659,PM000013
TXN0001660,PM000035
TXN0001661,PM000132
TXN0001662,PM000002
TXN0001663,PM000000
TXN0001664,PM000000
TXN0001665,PM000060
TXN0001666,PM000020
TXN0001667,PM000699
TXN0001668,PM000000
TXN0001669,PM000000
TXN0001670,PM000000
TXN0001671,PM000009
TXN0001672,PM000002
TXN0001673,PM000002
TXN0001674,PM000034
TXN0001675,PM000000
TXN0001676,PM000041
TXN0001677,PM000001
TXN0001678,PM000000
TXN0001679,PM000004
TXN0001680,PM000000
TXN0001681,PM000002
TXN0001682,PM000190
TXN0001683,PM000011
TXN0001684,PM000001
TXN0001685,PM000000
TXN0001686,PM000004
TXN0001687,PM000699
TXN0001688,PM000699
TXN0001689,PM000000
TXN0001690,PM000009
TXN0001691,PM000003
TXN0001692,PM000000
TXN0001693,PM000000
TXN0001694,PM000001
TXN0001695,PM000000
TXN0001696,PM000019
TXN0001697,PM000005
TXN0001698,PM000001
TXN0001699,PM000699
TXN0001700,PM000699
TXN0001701,PM000699
TXN0001702,PM000003
TXN0001703,PM000007
TXN0001704,PM000000
TXN0001705,PM000003
TXN0001706,PM000066
TXN0001707,PM000133
TXN0001708,PM000065
TXN0001709,PM000077
TXN0001710,PM000005
TXN0001711,PM000000
TXN0001712,PM000003
TXN0001713,PM000010
TXN0001714,PM000010
TXN0001715,PM000001
TXN0001716,PM000052
TXN0001717,PM000699
TXN0001718,PM000011
TXN0001719,PM000002
TXN0001720,PM000699
TXN0001721,PM000002
TXN0001722,PM000080
TXN0001723,PM000000
TXN0001724,PM000699
TXN0001725,PM000001
TXN0001726,PM000001
TXN0001727,PM000699
TXN0001728,PM000001
TXN0001729,PM000002
TXN0001730,PM000000
TXN0001731,PM000000
TXN0001732,PM000000
TXN0001733,PM000015
TXN0001734,PM000000
TXN0001735,PM000000
TXN0001736,PM000699
TXN0001737,PM000000
TXN0001738,PM000003
TXN0001739,PM000110
TXN0001740,PM000000
TXN0001741,PM000004
TXN0001742,PM000010
TXN0001743,PM000000
TXN0001744,PM000003
TXN0001745,PM000699
TXN0001746,PM000002
TXN0001747,PM000003
TXN0001748,PM000001
TXN0001749,PM000000
TXN0001750,PM000001
TXN0001751,PM000699
TXN0001752,PM000000
TXN0001753,PM000003
TXN0001754,PM000001
TXN0001755,PM000004
TXN0001756,PM000058
TXN0001757,PM000001
TXN0001758,PM000018
TXN0001759,PM000002
TXN0001760,PM000000
TXN0001761,PM000297
TXN0001762,PM000068
TXN0001763,PM000000
TXN0001764,PM000013
TXN0001765,PM000031
TXN0001766,PM000000
TXN0001767,PM000017
TXN0001768,PM000591
TXN0001769,PM000000
TXN0001770,PM000011
TXN0001771,PM000004
TXN0001772,PM000249
TXN0001773,PM000001
TXN0001774,PM000000
TXN0001775,PM000001
TXN0001776,PM000308
TXN0001777,PM000002
TXN0001778,PM000006
TXN0001779,PM000699
TXN0001780,PM000000
TXN0001781,PM000000
TXN0001782,PM000699
TXN0001783,PM000000
TXN0001784,PM000001
TXN0001785,PM000002
TXN0001786,PM000352
TXN0001787,PM000029
TXN0001788,PM000003
TXN0001789,PM000003
TXN0001790,PM000000
TXN0001791,PM000024
TXN0001792,PM000009
TXN0001793,PM000000
TXN0001794,PM000016
TXN0001795,PM000031
TXN0001796,PM000000
TXN0001797,PM000108
TXN0001798,PM000001
TXN0001799,PM000000
TXN0001800,PM000000
TXN0001801,PM000004
TXN0001802,PM000002
TXN0001803,PM000002
TXN0001804,PM000002
TXN0001805,PM000218
TXN0001806,PM000000
TXN0001807,PM000141
TXN0001808,PM000000
TXN0001809,PM000000
TXN0001810,PM000000
TXN0001811,PM000044
TXN0001812,PM000003
TXN0001813,PM000000
TXN0001814,PM000000
TXN0001815,PM000029
TXN0001816,PM000016
TXN0001817,PM000000
TXN0001818,PM000224
TXN0001819,PM000005
TXN0001820,PM000002
TXN0001821,PM000000
TXN0001822,PM000699
TXN0001823,PM000699
TXN0001824,PM000000
TXN0001825,PM000001
TXN0001826,PM000001
TXN0001827,PM000000
TXN0001828,PM000000
TXN0001829,PM000000
TXN0001830,PM000002
TXN0001831,PM000003
TXN0001832,PM000000
TXN0001833,PM000000
TXN0001834,PM000000
TXN0001835,PM000190
TXN0001836,PM000016
TXN0001837,PM000095
TXN0001838,PM000001
TXN0001839,PM000561
TXN0001840,PM000699
TXN0001841,PM000005
TXN0001842,PM000699
TXN0001843,PM000007
TXN0001844,PM000699
TXN0001845,PM000109
TXN0001846,PM000000
TXN0001847,PM000057
TXN0001848,PM000000
TXN0001849,PM000078
TXN0001850,PM000008
TXN0001851,PM000002
TXN0001852,PM000010
TXN0001853,PM000147
TXN0001854,PM000017
TXN0001855,PM000005
TXN0001856,PM000027
TXN0001857,PM000000
TXN0001858,PM000007
TXN0001859,PM000017
TXN0001860,PM000699
TXN0001861,PM000025
TXN0001862,PM000186
TXN0001863,PM000000
TXN0001864,PM000002
TXN0001865,PM000001
TXN0001866,PM000661
TXN0001867,PM000253
TXN0001868,PM000000
TXN0001869,PM000095
TXN0001870,PM000003
TXN0001871,PM000002
TXN0001872,PM000003
TXN0001873,PM000699
TXN0001874,PM000699
TXN0001875,PM000003
TXN0001876,PM000001
TXN0001877,PM000008
TXN0001878,PM000052
TXN0001879,PM000027
TXN0001880,PM000000
TXN0001881,PM000041
TXN0001882,PM000002
TXN0001883,PM000000
TXN0001884,PM000001
TXN0001885,PM000001
TXN0001886,PM000069
TXN0001887,PM000000
TXN0001888,PM000002
TXN0001889,PM000012
TXN0001890,PM000310
TXN0001891,PM000000
TXN0001892,PM000699
TXN0001893,PM000116
TXN0001894,PM000000
TXN0001895,PM000000
TXN0001896,PM000001
TXN0001897,PM000002
TXN0001898,PM000001
TXN0001899,PM000000
TXN0001900,PM000000
TXN0001901,PM000690
TXN0001902,PM000000
TXN0001903,PM000001
TXN0001904,PM000016
TXN0001905,PM000000
TXN0001906,PM000000
TXN0001907,PM000005
TXN0001908,PM000001
TXN0001909,PM000528
TXN0001910,PM000015
TXN0001911,PM000063
TXN0001912,PM000020
TXN0001913,PM000000
TXN0001914,PM000000
TXN0001915,PM000002
TXN0001916,PM000004
TXN0001917,PM000022
TXN0001918,PM000000
TXN0001919,PM000000
TXN0001920,PM000005
TXN0001921,PM000164
TXN0001922,PM000699
TXN0001923,PM000000
TXN0001924,PM000002
TXN0001925,PM000002
TXN0001926,PM000008
TXN0001927,PM000000
TXN0001928,PM000001
TXN0001929,PM000001
TXN0001930,PM000395
TXN0001931,PM000461
TXN0001932,PM000002
TXN0001933,PM000001
TXN0001934,PM000464
TXN0001935,PM000000
TXN0001936,PM000699
TXN0001937,PM000001
TXN0001938,PM000156
TXN0001939,PM000010
TXN0001940,PM000000
TXN0001941,PM000699
TXN0001942,PM000010
TXN0001943,PM000012
TXN0001944,PM000004
TXN0001945,PM000000
TXN0001946,PM000001
TXN0001947,PM000001
TXN0001948,PM000000
TXN0001949,PM000002
TXN0001950,PM000000
TXN0001951,PM000000
TXN0001952,PM000001
TXN0001953,PM000000
TXN0001954,PM000019
TXN0001955,PM000004
TXN0001956,PM000001
TXN0001957,PM000018
TXN0001958,PM000000
TXN0001959,PM000001
TXN0001960,PM000006
TXN0001961,PM000169
TXN0001962,PM000699
TXN0001963,PM000139
TXN0001964,PM000699
TXN0001965,PM000003
TXN0001966,PM000001
TXN0001967,PM000011
TXN0001968,PM000000
TXN0001969,PM000006
TXN0001970,PM000001
TXN0001971,PM000009
TXN0001972,PM000006
TXN0001973,PM000002
TXN0001974,PM000699
TXN0001975,PM000110
TXN0001976,PM000007
TXN0001977,PM000002
TXN0001978,PM000044
TXN0001979,PM000029
TXN0001980,PM000024
TXN0001981,PM000000
TXN0001982,PM000006
TXN0001983,PM000003
TXN0001984,PM000000
TXN0001985,PM000037
TXN0001986,PM000319
TXN0001987,PM000019
TXN0001988,PM000013
TXN0001989,PM000001
TXN0001990,PM000000
TXN0001991,PM000002
TXN0001992,PM000004
TXN0001993,PM000000
TXN0001994,PM000018
TXN0001995,PM000100
TXN0001996,PM000042
TXN0001997,PM000001
TXN0001998,PM000003
TXN0001999,PM000699
