PaymentTransaction,Merchant
TXN0001074,MERC00007
TXN0001075,MERC00000
TXN0001076,MERC00000
TXN0001077,MERC00002
TXN0001078,MERC00008
TXN0001079,MERC00000
TXN0001080,MERC00001
TXN0001081,MERC00000
TXN0001082,MERC00000
TXN0001083,MERC00099
TXN0001084,MERC00009
TXN0001085,MERC00001
TXN0001086,MERC00099
TXN0001087,MERC00009
TXN0001088,MERC00000
TXN0001089,MERC00001
TXN0001090,MERC00001
TXN0001091,MERC00000
TXN0001092,MERC00001
TXN0001093,MERC00000
TXN0001094,MERC00000
TXN0001095,MERC00011
TXN0001096,MERC00000
TXN0001097,MERC00000
TXN0001098,MERC00008
TXN0001099,MERC00003
TXN0001100,MERC00050
TXN0001101,MERC00001
TXN0001102,MERC00000
TXN0001103,MERC00003
TXN0001104,MERC00000
TXN0001105,MERC00003
TXN0001106,MERC00003
TXN0001107,MERC00001
TXN0001108,MERC00000
TXN0001109,MERC00000
TXN0001110,MERC00001
TXN0001111,MERC00000
TXN0001112,MERC00000
TXN0001113,MERC00001
TXN0001114,MERC00000
TXN0001115,MERC00001
TXN0001116,MERC00001
TXN0001117,MERC00005
TXN0001118,MERC00002
TXN0001119,MERC00000
TXN0001120,MERC00000
TXN0001121,MERC00001
TXN0001122,MERC00046
TXN0001123,MERC00001
TXN0001124,MERC00004
TXN0001125,MERC00003
TXN0001126,MERC00021
TXN0001127,MERC00000
TXN0001128,MERC00099
TXN0001129,MERC00099
TXN0001130,MERC00000
TXN0001131,MERC00000
TXN0001132,MERC00000
TXN0001133,MERC00000
TXN0001134,MERC00001
TXN0001135,MERC00013
TXN0001136,MERC00099
TXN0001137,MERC00001
TXN0001138,MERC00000
TXN0001139,MERC00000
TXN0001140,MERC00000
TXN0001141,MERC00074
TXN0001142,MERC00000
TXN0001143,MERC00020
TXN0001144,MERC00002
TXN0001145,MERC00002
TXN0001146,MERC00000
TXN0001147,MERC00002
TXN0001148,MERC00099
TXN0001149,MERC00036
TXN0001150,MERC00000
TXN0001151,MERC00099
TXN0001152,MERC00038
TXN0001153,MERC00001
TXN0001154,MERC00096
TXN0001155,MERC00000
TXN0001156,MERC00000
TXN0001157,MERC00002
TXN0001158,MERC00025
TXN0001159,MERC00099
TXN0001160,MERC00000
TXN0001161,MERC00000
TXN0001162,MERC00002
TXN0001163,MERC00000
TXN0001164,MERC00002
TXN0001165,MERC00000
TXN0001166,MERC00001
TXN0001167,MERC00002
TXN0001168,MERC00000
TXN0001169,MERC00014
TXN0001170,MERC00000
TXN0001171,MERC00011
TXN0001172,MERC00000
TXN0001173,MERC00099
TXN0001174,MERC00028
TXN0001175,MERC00002
TXN0001176,MERC00000
TXN0001177,MERC00009
TXN0001178,MERC00005
TXN0001179,MERC00003
TXN0001180,MERC00099
TXN0001181,MERC00000
TXN0001182,MERC00003
TXN0001183,MERC00000
TXN0001184,MERC00002
TXN0001185,MERC00002
TXN0001186,MERC00000
TXN0001187,MERC00001
TXN0001188,MERC00000
TXN0001189,MERC00051
TXN0001190,MERC00004
TXN0001191,MERC00001
TXN0001192,MERC00002
TXN0001193,MERC00028
TXN0001194,MERC00002
TXN0001195,MERC00010
TXN0001196,MERC00013
TXN0001197,MERC00080
TXN0001198,MERC00001
TXN0001199,MERC00001
TXN0001200,MERC00000
TXN0001201,MERC00093
TXN0001202,MERC00000
TXN0001203,MERC00001
TXN0001204,MERC00001
TXN0001205,MERC00053
TXN0001206,MERC00098
TXN0001207,MERC00000
TXN0001208,MERC00001
TXN0001209,MERC00007
TXN0001210,MERC00001
TXN0001211,MERC00000
TXN0001212,MERC00000
TXN0001213,MERC00099
TXN0001214,MERC00000
TXN0001215,MERC00099
TXN0001216,MERC00046
TXN0001217,MERC00099
TXN0001218,MERC00099
TXN0001219,MERC00099
TXN0001220,MERC00011
TXN0001221,MERC00001
TXN0001222,MERC00099
TXN0001223,MERC00000
TXN0001224,MERC00001
TXN0001225,MERC00001
TXN0001226,MERC00001
TXN0001227,MERC00001
TXN0001228,MERC00007
TXN0001229,MERC00000
TXN0001230,MERC00000
TXN0001231,MERC00002
TXN0001232,MERC00002
TXN0001233,MERC00003
TXN0001234,MERC00099
TXN0001235,MERC00000
TXN0001236,MERC00001
TXN0001237,MERC00000
TXN0001238,MERC00000
TXN0001239,MERC00026
TXN0001240,MERC00010
TXN0001241,MERC00093
TXN0001242,MERC00000
TXN0001243,MERC00001
TXN0001244,MERC00068
TXN0001245,MERC00006
TXN0001246,MERC00000
TXN0001247,MERC00000
TXN0001248,MERC00000
TXN0001249,MERC00000
TXN0001250,MERC00059
TXN0001251,MERC00000
TXN0001252,MERC00002
TXN0001253,MERC00000
TXN0001254,MERC00000
TXN0001255,MERC00019
TXN0001256,MERC00000
TXN0001257,MERC00000
TXN0001258,MERC00000
TXN0001259,MERC00000
TXN0001260,MERC00001
TXN0001261,MERC00000
TXN0001262,MERC00000
TXN0001263,MERC00000
TXN0001264,MERC00000
TXN0001265,MERC00000
TXN0001266,MERC00001
TXN0001267,MERC00000
TXN0001268,MERC00000
TXN0001269,MERC00001
TXN0001270,MERC00000
TXN0001271,MERC00000
TXN0001272,MERC00000
TXN0001273,MERC00002
TXN0001274,MERC00099
TXN0001275,MERC00004
TXN0001276,MERC00099
TXN0001277,MERC00000
TXN0001278,MERC00001
TXN0001279,MERC00000
TXN0001280,MERC00001
TXN0001281,MERC00000
TXN0001282,MERC00000
TXN0001283,MERC00010
TXN0001284,MERC00000
TXN0001285,MERC00013
TXN0001286,MERC00005
TXN0001287,MERC00021
TXN0001288,MERC00006
TXN0001289,MERC00000
TXN0001290,MERC00007
TXN0001291,MERC00013
TXN0001292,MERC00007
TXN0001293,MERC00006
TXN0001294,MERC00099
TXN0001295,MERC00011
TXN0001296,MERC00001
TXN0001297,MERC00000
TXN0001298,MERC00060
TXN0001299,MERC00000
TXN0001300,MERC00002
TXN0001301,MERC00001
TXN0001302,MERC00003
TXN0001303,MERC00001
TXN0001304,MERC00001
TXN0001305,MERC00000
TXN0001306,MERC00024
TXN0001307,MERC00003
TXN0001308,MERC00001
TXN0001309,MERC00019
TXN0001310,MERC00020
TXN0001311,MERC00003
TXN0001312,MERC00000
TXN0001313,MERC00013
TXN0001314,MERC00001
TXN0001315,MERC00088
TXN0001316,MERC00003
TXN0001317,MERC00000
TXN0001318,MERC00000
TXN0001319,MERC00000
TXN0001320,MERC00099
TXN0001321,MERC00000
TXN0001322,MERC00003
TXN0001323,MERC00002
TXN0001324,MERC00000
TXN0001325,MERC00002
TXN0001326,MERC00000
TXN0001327,MERC00031
TXN0001328,MERC00000
TXN0001329,MERC00016
TXN0001330,MERC00010
TXN0001331,MERC00000
TXN0001332,MERC00000
TXN0001333,MERC00000
TXN0001334,MERC00001
TXN0001335,MERC00000
TXN0001336,MERC00099
TXN0001337,MERC00006
TXN0001338,MERC00000
TXN0001339,MERC00010
TXN0001340,MERC00001
TXN0001341,MERC00099
TXN0001342,MERC00001
TXN0001343,MERC00001
TXN0001344,MERC00002
TXN0001345,MERC00000
TXN0001346,MERC00000
TXN0001347,MERC00000
TXN0001348,MERC00000
TXN0001349,MERC00000
TXN0001350,MERC00010
TXN0001351,MERC00000
TXN0001352,MERC00000
TXN0001353,MERC00000
TXN0001354,MERC00000
TXN0001355,MERC00004
TXN0001356,MERC00004
TXN0001357,MERC00003
TXN0001358,MERC00001
TXN0001359,MERC00007
TXN0001360,MERC00015
TXN0001361,MERC00016
TXN0001362,MERC00082
TXN0001363,MERC00049
TXN0001364,MERC00000
TXN0001365,MERC00007
TXN0001366,MERC00002
TXN0001367,MERC00013
TXN0001368,MERC00003
TXN0001369,MERC00008
TXN0001370,MERC00006
TXN0001371,MERC00002
TXN0001372,MERC00000
TXN0001373,MERC00000
TXN0001374,MERC00000
TXN0001375,MERC00099
TXN0001376,MERC00000
TXN0001377,MERC00000
TXN0001378,MERC00010
TXN0001379,MERC00045
TXN0001380,MERC00099
TXN0001381,MERC00000
TXN0001382,MERC00000
TXN0001383,MERC00000
TXN0001384,MERC00000
TXN0001385,MERC00006
TXN0001386,MERC00024
TXN0001387,MERC00000
TXN0001388,MERC00001
TXN0001389,MERC00000
TXN0001390,MERC00008
TXN0001391,MERC00091
TXN0001392,MERC00038
TXN0001393,MERC00008
TXN0001394,MERC00007
TXN0001395,MERC00002
TXN0001396,MERC00000
TXN0001397,MERC00053
TXN0001398,MERC00000
TXN0001399,MERC00007
TXN0001400,MERC00000
TXN0001401,MERC00029
TXN0001402,MERC00001
TXN0001403,MERC00000
TXN0001404,MERC00000
TXN0001405,MERC00000
TXN0001406,MERC00010
TXN0001407,MERC00001
TXN0001408,MERC00029
TXN0001409,MERC00006
TXN0001410,MERC00000
TXN0001411,MERC00002
TXN0001412,MERC00004
TXN0001413,MERC00003
TXN0001414,MERC00000
TXN0001415,MERC00000
TXN0001416,MERC00001
TXN0001417,MERC00000
TXN0001418,MERC00007
TXN0001419,MERC00000
TXN0001420,MERC00002
TXN0001421,MERC00029
TXN0001422,MERC00001
TXN0001423,MERC00000
TXN0001424,MERC00005
TXN0001425,MERC00000
TXN0001426,MERC00000
TXN0001427,MERC00000
TXN0001428,MERC00004
TXN0001429,MERC00099
TXN0001430,MERC00000
TXN0001431,MERC00034
TXN0001432,MERC00099
TXN0001433,MERC00000
TXN0001434,MERC00000
TXN0001435,MERC00001
TXN0001436,MERC00003
TXN0001437,MERC00002
TXN0001438,MERC00001
TXN0001439,MERC00099
TXN0001440,MERC00000
TXN0001441,MERC00000
TXN0001442,MERC00000
TXN0001443,MERC00007
TXN0001444,MERC00059
TXN0001445,MERC00001
TXN0001446,MERC00006
TXN0001447,MERC00008
TXN0001448,MERC00001
TXN0001449,MERC00001
TXN0001450,MERC00002
TXN0001451,MERC00001
TXN0001452,MERC00029
TXN0001453,MERC00099
TXN0001454,MERC00079
TXN0001455,MERC00000
TXN0001456,MERC00099
TXN0001457,MERC00000
TXN0001458,MERC00000
TXN0001459,MERC00003
TXN0001460,MERC00000
TXN0001461,MERC00099
TXN0001462,MERC00000
TXN0001463,MERC00005
TXN0001464,MERC00003
TXN0001465,MERC00008
TXN0001466,MERC00001
TXN0001467,MERC00008
TXN0001468,MERC00000
TXN0001469,MERC00000
TXN0001470,MERC00007
TXN0001471,MERC00000
TXN0001472,MERC00000
TXN0001473,MERC00000
TXN0001474,MERC00000
TXN0001475,MERC00000
TXN0001476,MERC00013
TXN0001477,MERC00001
TXN0001478,MERC00002
TXN0001479,MERC00000
TXN0001480,MERC00000
TXN0001481,MERC00005
TXN0001482,MERC00004
TXN0001483,MERC00099
TXN0001484,MERC00000
TXN0001485,MERC00007
TXN0001486,MERC00000
TXN0001487,MERC00000
TXN0001488,MERC00000
TXN0001489,MERC00000
TXN0001490,MERC00013
TXN0001491,MERC00000
TXN0001492,MERC00004
TXN0001493,MERC00000
TXN0001494,MERC00000
TXN0001495,MERC00009
TXN0001496,MERC00001
TXN0001497,MERC00000
TXN0001498,MERC00000
TXN0001499,MERC00002
TXN0001500,MERC00012
TXN0001501,MERC00045
TXN0001502,MERC00001
TXN0001503,MERC00005
TXN0001504,MERC00002
TXN0001505,MERC00000
TXN0001506,MERC00009
TXN0001507,MERC00000
TXN0001508,MERC00014
TXN0001509,MERC00015
TXN0001510,MERC00000
TXN0001511,MERC00013
TXN0001512,MERC00099
TXN0001513,MERC00000
TXN0001514,MERC00000
TXN0001515,MERC00002
TXN0001516,MERC00000
TXN0001517,MERC00005
TXN0001518,MERC00099
TXN0001519,MERC00000
TXN0001520,MERC00003
TXN0001521,MERC00010
TXN0001522,MERC00009
TXN0001523,MERC00009
TXN0001524,MERC00099
TXN0001525,MERC00099
TXN0001526,MERC00008
TXN0001527,MERC00024
TXN0001528,MERC00030
TXN0001529,MERC00000
TXN0001530,MERC00000
TXN0001531,MERC00099
TXN0001532,MERC00099
TXN0001533,MERC00003
TXN0001534,MERC00007
TXN0001535,MERC00038
TXN0001536,MERC00006
TXN0001537,MERC00006
TXN0001538,MERC00000
TXN0001539,MERC00099
TXN0001540,MERC00001
TXN0001541,MERC00099
TXN0001542,MERC00000
TXN0001543,MERC00004
TXN0001544,MERC00000
TXN0001545,MERC00017
TXN0001546,MERC00016
TXN0001547,MERC00000
TXN0001548,MERC00008
TXN0001549,MERC00000
TXN0001550,MERC00000
TXN0001551,MERC00012
TXN0001552,MERC00035
TXN0001553,MERC00001
TXN0001554,MERC00010
TXN0001555,MERC00000
TXN0001556,MERC00000
TXN0001557,MERC00000
TXN0001558,MERC00003
TXN0001559,MERC00000
TXN0001560,MERC00003
TXN0001561,MERC00000
TXN0001562,MERC00000
TXN0001563,MERC00007
TXN0001564,MERC00000
TXN0001565,MERC00010
TXN0001566,MERC00054
TXN0001567,MERC00000
TXN0001568,MERC00003
TXN0001569,MERC00001
TXN0001570,MERC00007
TXN0001571,MERC00006
TXN0001572,MERC00001
TXN0001573,MERC00000
TXN0001574,MERC00004
TXN0001575,MERC00000
TXN0001576,MERC00006
TXN0001577,MERC00011
TXN0001578,MERC00003
TXN0001579,MERC00008
TXN0001580,MERC00000
TXN0001581,MERC00003
TXN0001582,MERC00009
TXN0001583,MERC00000
TXN0001584,MERC00000
TXN0001585,MERC00001
TXN0001586,MERC00000
TXN0001587,MERC00005
TXN0001588,MERC00000
TXN0001589,MERC00000
TXN0001590,MERC00099
TXN0001591,MERC00000
TXN0001592,MERC00000
TXN0001593,MERC00000
TXN0001594,MERC00017
TXN0001595,MERC00000
TXN0001596,MERC00000
TXN0001597,MERC00002
TXN0001598,MERC00018
TXN0001599,MERC00000
TXN0001600,MERC00001
TXN0001601,MERC00099
TXN0001602,MERC00003
TXN0001603,MERC00099
TXN0001604,MERC00000
TXN0001605,MERC00000
TXN0001606,MERC00028
TXN0001607,MERC00000
TXN0001608,MERC00053
TXN0001609,MERC00010
TXN0001610,MERC00001
TXN0001611,MERC00000
TXN0001612,MERC00008
TXN0001613,MERC00000
TXN0001614,MERC00000
TXN0001615,MERC00000
TXN0001616,MERC00099
TXN0001617,MERC00017
TXN0001618,MERC00000
TXN0001619,MERC00004
TXN0001620,MERC00004
TXN0001621,MERC00000
TXN0001622,MERC00003
TXN0001623,MERC00002
TXN0001624,MERC00003
TXN0001625,MERC00001
TXN0001626,MERC00007
TXN0001627,MERC00002
TXN0001628,MERC00002
TXN0001629,MERC00000
TXN0001630,MERC00011
TXN0001631,MERC00000
TXN0001632,MERC00008
TXN0001633,MERC00000
TXN0001634,MERC00000
TXN0001635,MERC00000
TXN0001636,MERC00004
TXN0001637,MERC00000
TXN0001638,MERC00099
TXN0001639,MERC00000
TXN0001640,MERC00000
TXN0001641,MERC00007
TXN0001642,MERC00000
TXN0001643,MERC00001
TXN0001644,MERC00009
TXN0001645,MERC00015
TXN0001646,MERC00000
TXN0001647,MERC00000
TXN0001648,MERC00099
TXN0001649,MERC00000
TXN0001650,MERC00004
TXN0001651,MERC00000
TXN0001652,MERC00000
TXN0001653,MERC00003
TXN0001654,MERC00000
TXN0001655,MERC00002
TXN0001656,MERC00005
TXN0001657,MERC00000
TXN0001658,MERC00000
TXN0001659,MERC00001
TXN0001660,MERC00034
TXN0001661,MERC00002
TXN0001662,MERC00099
TXN0001663,MERC00000
TXN0001664,MERC00000
TXN0001665,MERC00001
TXN0001666,MERC00042
TXN0001667,MERC00000
TXN0001668,MERC00000
TXN0001669,MERC00001
TXN0001670,MERC00000
TXN0001671,MERC00099
TXN0001672,MERC00002
TXN0001673,MERC00001
TXN0001674,MERC00003
TXN0001675,MERC00000
TXN0001676,MERC00000
TXN0001677,MERC00004
TXN0001678,MERC00022
TXN0001679,MERC00001
TXN0001680,MERC00001
TXN0001681,MERC00000
TXN0001682,MERC00001
TXN0001683,MERC00000
TXN0001684,MERC00000
TXN0001685,MERC00029
TXN0001686,MERC00000
TXN0001687,MERC00000
TXN0001688,MERC00002
TXN0001689,MERC00024
TXN0001690,MERC00005
TXN0001691,MERC00000
TXN0001692,MERC00011
TXN0001693,MERC00000
TXN0001694,MERC00001
TXN0001695,MERC00000
TXN0001696,MERC00000
TXN0001697,MERC00089
TXN0001698,MERC00001
TXN0001699,MERC00000
TXN0001700,MERC00099
TXN0001701,MERC00000
TXN0001702,MERC00069
TXN0001703,MERC00003
TXN0001704,MERC00001
TXN0001705,MERC00000
TXN0001706,MERC00000
TXN0001707,MERC00000
TXN0001708,MERC00070
TXN0001709,MERC00000
TXN0001710,MERC00000
TXN0001711,MERC00008
TXN0001712,MERC00007
TXN0001713,MERC00004
TXN0001714,MERC00001
TXN0001715,MERC00000
TXN0001716,MERC00099
TXN0001717,MERC00001
TXN0001718,MERC00002
TXN0001719,MERC00007
TXN0001720,MERC00007
TXN0001721,MERC00002
TXN0001722,MERC00000
TXN0001723,MERC00000
TXN0001724,MERC00001
TXN0001725,MERC00002
TXN0001726,MERC00000
TXN0001727,MERC00074
TXN0001728,MERC00006
TXN0001729,MERC00099
TXN0001730,MERC00005
TXN0001731,MERC00000
TXN0001732,MERC00011
TXN0001733,MERC00099
TXN0001734,MERC00000
TXN0001735,MERC00017
TXN0001736,MERC00004
TXN0001737,MERC00001
TXN0001738,MERC00003
TXN0001739,MERC00000
TXN0001740,MERC00004
TXN0001741,MERC00002
TXN0001742,MERC00071
TXN0001743,MERC00006
TXN0001744,MERC00004
TXN0001745,MERC00000
TXN0001746,MERC00002
TXN0001747,MERC00000
TXN0001748,MERC00002
TXN0001749,MERC00008
TXN0001750,MERC00003
TXN0001751,MERC00099
TXN0001752,MERC00001
TXN0001753,MERC00001
TXN0001754,MERC00002
TXN0001755,MERC00005
TXN0001756,MERC00005
TXN0001757,MERC00001
TXN0001758,MERC00053
TXN0001759,MERC00006
TXN0001760,MERC00000
TXN0001761,MERC00016
TXN0001762,MERC00000
TXN0001763,MERC00001
TXN0001764,MERC00001
TXN0001765,MERC00099
TXN0001766,MERC00039
TXN0001767,MERC00012
TXN0001768,MERC00014
TXN0001769,MERC00099
TXN0001770,MERC00001
TXN0001771,MERC00000
TXN0001772,MERC00001
TXN0001773,MERC00003
TXN0001774,MERC00007
TXN0001775,MERC00099
TXN0001776,MERC00006
TXN0001777,MERC00000
TXN0001778,MERC00001
TXN0001779,MERC00002
TXN0001780,MERC00000
TXN0001781,MERC00001
TXN0001782,MERC00000
TXN0001783,MERC00000
TXN0001784,MERC00000
TXN0001785,MERC00006
TXN0001786,MERC00099
TXN0001787,MERC00000
TXN0001788,MERC00000
TXN0001789,MERC00001
TXN0001790,MERC00001
TXN0001791,MERC00000
TXN0001792,MERC00004
TXN0001793,MERC00000
TXN0001794,MERC00000
TXN0001795,MERC00003
TXN0001796,MERC00001
TXN0001797,MERC00000
TXN0001798,MERC00000
TXN0001799,MERC00000
TXN0001800,MERC00000
TXN0001801,MERC00028
TXN0001802,MERC00000
TXN0001803,MERC00000
TXN0001804,MERC00000
TXN0001805,MERC00001
TXN0001806,MERC00013
TXN0001807,MERC00009
TXN0001808,MERC00005
TXN0001809,MERC00000
TXN0001810,MERC00000
TXN0001811,MERC00000
TXN0001812,MERC00000
TXN0001813,MERC00099
TXN0001814,MERC00001
TXN0001815,MERC00001
TXN0001816,MERC00004
TXN0001817,MERC00000
TXN0001818,MERC00024
TXN0001819,MERC00030
TXN0001820,MERC00003
TXN0001821,MERC00019
TXN0001822,MERC00012
TXN0001823,MERC00023
TXN0001824,MERC00000
TXN0001825,MERC00000
TXN0001826,MERC00000
TXN0001827,MERC00004
TXN0001828,MERC00000
TXN0001829,MERC00000
TXN0001830,MERC00001
TXN0001831,MERC00000
TXN0001832,MERC00007
TXN0001833,MERC00000
TXN0001834,MERC00000
TXN0001835,MERC00001
TXN0001836,MERC00001
TXN0001837,MERC00000
TXN0001838,MERC00000
TXN0001839,MERC00001
TXN0001840,MERC00002
TXN0001841,MERC00000
TXN0001842,MERC00003
TXN0001843,MERC00001
TXN0001844,MERC00005
TXN0001845,MERC00023
TXN0001846,MERC00000
TXN0001847,MERC00001
TXN0001848,MERC00020
TXN0001849,MERC00000
TXN0001850,MERC00000
TXN0001851,MERC00099
TXN0001852,MERC00000
TXN0001853,MERC00000
TXN0001854,MERC00001
TXN0001855,MERC00000
TXN0001856,MERC00001
TXN0001857,MERC00099
TXN0001858,MERC00000
TXN0001859,MERC00009
TXN0001860,MERC00000
TXN0001861,MERC00099
TXN0001862,MERC00099
TXN0001863,MERC00000
TXN0001864,MERC00099
TXN0001865,MERC00000
TXN0001866,MERC00000
TXN0001867,MERC00003
TXN0001868,MERC00099
TXN0001869,MERC00037
TXN0001870,MERC00099
TXN0001871,MERC00000
TXN0001872,MERC00001
TXN0001873,MERC00004
TXN0001874,MERC00000
TXN0001875,MERC00064
TXN0001876,MERC00003
TXN0001877,MERC00021
TXN0001878,MERC00099
TXN0001879,MERC00002
TXN0001880,MERC00000
TXN0001881,MERC00000
TXN0001882,MERC00000
TXN0001883,MERC00001
TXN0001884,MERC00000
TXN0001885,MERC00008
TXN0001886,MERC00000
TXN0001887,MERC00005
TXN0001888,MERC00008
TXN0001889,MERC00000
TXN0001890,MERC00004
TXN0001891,MERC00015
TXN0001892,MERC00000
TXN0001893,MERC00077
TXN0001894,MERC00031
TXN0001895,MERC00000
TXN0001896,MERC00000
TXN0001897,MERC00004
TXN0001898,MERC00000
TXN0001899,MERC00012
TXN0001900,MERC00095
TXN0001901,MERC00000
TXN0001902,MERC00001
TXN0001903,MERC00001
TXN0001904,MERC00001
TXN0001905,MERC00000
TXN0001906,MERC00000
TXN0001907,MERC00000
TXN0001908,MERC00002
TXN0001909,MERC00009
TXN0001910,MERC00099
TXN0001911,MERC00000
TXN0001912,MERC00006
TXN0001913,MERC00000
TXN0001914,MERC00099
TXN0001915,MERC00008
TXN0001916,MERC00008
TXN0001917,MERC00000
TXN0001918,MERC00000
TXN0001919,MERC00000
TXN0001920,MERC00000
TXN0001921,MERC00000
TXN0001922,MERC00000
TXN0001923,MERC00000
TXN0001924,MERC00068
TXN0001925,MERC00003
TXN0001926,MERC00000
TXN0001927,MERC00001
TXN0001928,MERC00000
TXN0001929,MERC00099
TXN0001930,MERC00000
TXN0001931,MERC00000
TXN0001932,MERC00007
TXN0001933,MERC00000
TXN0001934,MERC00001
TXN0001935,MERC00037
TXN0001936,MERC00001
TXN0001937,MERC00000
TXN0001938,MERC00000
TXN0001939,MERC00000
TXN0001940,MERC00099
TXN0001941,MERC00002
TXN0001942,MERC00010
TXN0001943,MERC00099
TXN0001944,MERC00003
TXN0001945,MERC00001
TXN0001946,MERC00002
TXN0001947,MERC00000
TXN0001948,MERC00086
TXN0001949,MERC00000
TXN0001950,MERC00009
TXN0001951,MERC00001
TXN0001952,MERC00004
TXN0001953,MERC00001
TXN0001954,MERC00099
TXN0001955,MERC00021
TXN0001956,MERC00000
TXN0001957,MERC00000
TXN0001958,MERC00002
TXN0001959,MERC00006
TXN0001960,MERC00000
TXN0001961,MERC00003
TXN0001962,MERC00005
TXN0001963,MERC00000
TXN0001964,MERC00000
TXN0001965,MERC00013
TXN0001966,MERC00002
TXN0001967,MERC00003
TXN0001968,MERC00099
TXN0001969,MERC00006
TXN0001970,MERC00004
TXN0001971,MERC00026
TXN0001972,MERC00074
TXN0001973,MERC00042
TXN0001974,MERC00057
TXN0001975,MERC00011
TXN0001976,MERC00008
TXN0001977,MERC00000
TXN0001978,MERC00000
TXN0001979,MERC00013
TXN0001980,MERC00003
TXN0001981,MERC00003
TXN0001982,MERC00000
TXN0001983,MERC00001
TXN0001984,MERC00000
TXN0001985,MERC00005
TXN0001986,MERC00025
TXN0001987,MERC00000
TXN0001988,MERC00000
TXN0001989,MERC00007
TXN0001990,MERC00002
TXN0001991,MERC00099
TXN0001992,MERC00003
TXN0001993,MERC00003
TXN0001994,MERC00000
TXN0001995,MERC00000
TXN0001996,MERC00000
TXN0001997,MERC00075
TXN0001998,MERC00000
TXN0001999,MERC00001
